"titles","word_matches","cat_matches","cat_matches_list","optim"
"Optimization of a microbial fuel cell for wastewater treatment using recycled scrap metals as a cost-effective cathode material",7,4,"energy, other, various, waste",1
"Optimal operation for large pumping station system based on water transferring losses of river",1,1,"water",1
"An integrated approach to the optimisation of water usage and discharge in pulp and paper plants",4,3,"other, waste, water",1
"Air source heat pump water heater: Dynamic modeling, optimal energy management and mini-tubes condensers",5,2,"energy, water",1
"Sequential methodology for integrated optimization of energy and water use during batch process scheduling",3,2,"energy, water",1
"Optimization of rice husk pretreatment for energy production",4,2,"energy, other",1
"Thermoeconomic analysis and optimization of an ammonia-water power/cooling cogeneration cycle",5,2,"energy, water",1
"First-class optimization operation of distributed complex multi-source raw water system",2,1,"water",1
"Modeling, instrumentation, automation, and optimization of water resource recovery facilities",4,2,"various, water",1
"Treatment of digestate from a co-digestion biogas plant by means of vacuum evaporation: Tests for process optimization and environmental sustainability",5,3,"energy, various, waste",1
"Optimization of Industrial Structure Considering the Uncertainty of Water Resources",2,1,"water",1
"Wet and dry cooling systems optimization applied to a modern waste-to-energy cogeneration heat and power plant",7,2,"energy, waste",1
"An inexact optimization model for regional energy systems planning in the mixed stochastic and fuzzy environment",2,1,"energy",1
"A Fuzzy Robust Optimization Model for Waste Allocation Planning under Uncertainty",2,1,"waste",1
"Analysis and optimization of integrated gas turbine, heat recovery steam generator and multi-effect thermal vapour compression desalination plant",7,3,"energy, various, water",1
"A superstructure optimization approach for water network synthesis with membrane separation-based regenerators",3,1,"water",1
"Optimization of a waste heat utilization network in an eco-industrial park",4,2,"energy, waste",1
"A process modelling-life cycle assessment-multiobjective optimization tool for the eco-design of conventional treatment processes of potable water",5,2,"various, water",1
"Optimal allocation of water quantity and waste load in the Northwest Pearl River Delta, China",2,2,"waste, water",1
"Parameter optimization for predicting soil water movement under crop residue cover",4,3,"other, waste, water",1
"A hybrid interval-robust optimization model for water quality management",2,1,"water",1
"Energy efficiency optimisation of wastewater treatment: Study of ATAD",4,3,"energy, various, waste",1
"Economic and environmental optimization of a multi-site utility network for an industrial complex",2,0,"",1
"Optimisation of electro-Fenton denitrification of a model wastewater using a response surface methodology",2,1,"waste",1
"Optimal water purification using low grade waste heat in an absorption heat transformer",3,3,"energy, waste, water",1
"Process integration, modelling and optimisation for energy saving and pollution reduction",4,2,"energy, waste",1
"Identification of optimal urban solid waste flow schemes under impacts of energy prices",2,2,"energy, waste",1
"Regional optimal allocation for reducing waste loads via artificial neural network and particle swarm optimization: A case study of ammonia nitrogen in Harbin, northeast China",3,1,"waste",1
"Optimal utilization of waste-to-energy in an LCA perspective",2,2,"energy, waste",1
"A two-stage support-vector-regression optimization model for municipal solid waste management - A case study of Beijing, China",3,1,"waste",1
"Pyrolysis of low density polyethylene waste in subcritical water optimized by response surface methodology",3,3,"various, waste, water",1
"Thermoeconomic analysis & optimization of the combined supercritical CO2 (carbon dioxide) recompression Brayton/organic Rankine cycle",4,2,"various, waste",1
"Energy efficiency optimization of air supply system in a water bottle manufacturing system",3,2,"energy, water",1
"Partial oxidation of landfill leachate in supercritical water: Optimization by response surface methodology",4,2,"waste, water",1
"Urban water infrastructure optimization to reduce environmental impacts and costs",3,1,"water",1
"Total footprints-based multi-criteria optimisation of regional biomass energy supply chains",3,2,"energy, various",1
"Inexact Optimization Model for Supporting Waste-Load Allocation in the Xiangxi River Basin of the Three Gorges Reservoir Region, China",2,1,"waste",1
"Exergoeconomic optimization of a trigeneration system for heating, cooling and power production purpose based on TRR method and using evolutionary algorithm",4,1,"energy",1
"Optimal aeration control in a nitrifying activated sludge process",1,1,"waste",1
"Simulation and optimization of an experimental membrane wastewater treatment plant using computational intelligence methods",4,2,"various, waste",1
"Optimal process design for the polygeneration of SNG, power and heat by hydrothermal gasification of waste biomass: Process optimisation for selected substrates",8,3,"energy, various, waste",1
"Optimization of ethanol production from microwave alkali pretreated rice straw using statistical experimental designs by Saccharomyces cerevisiae",3,2,"energy, other",1
"Intermittency-friendly and high-efficiency cogeneration: Operational optimisation of cogeneration with compression heat pump, flue gas heat recovery, and intermediate cold storage",5,2,"energy, various",1
"Global optimization for overall HVAC systems - Part I problem formulation and analysis",2,1,"energy",1
"A robust optimization modelling approach for managing water and farmland use between anthropogenic modification and ecosystems protection under uncertainties",3,1,"water",1
"Optimization framework for the simultaneous process synthesis, heat and power integration of a thermochemical hybrid biomass, coal, and natural gas facility",6,2,"energy, various",1
"Chemical exergy as a unified and objective indicator in the assessment and optimization of land treatment systems",3,2,"energy, various",1
"Optimal retrofit of water conservation networks",2,1,"water",1
"An interval-parameter stochastic robust optimization model for supporting municipal solid waste management under uncertainty",3,1,"waste",1
"Optimization of bioenergy yield from cultivated land in Denmark",2,1,"energy",1
"A simulation-based optimization approach for Water quality management of Xiangxihe river under uncertainty",3,1,"water",1
"Model based optimization of the intermittent aeration profile for SBRs under partial nitrification",1,0,"",1
"Techno-economic assessment and optimization of Stirling engine micro-cogeneration systems in residential buildings",3,1,"energy",1
"Optimization Models for Process Water Networks and Their Application to Biofuel Processes",5,2,"energy, water",1
"A surrogate model for simulation-optimization of aquifer systems subjected to seawater intrusion",3,1,"water",1
"Multiobjective optimization of cluster-scale urban water systems investigating alternative water sources and level of decentralization",2,1,"water",1
"Model-based optimal control of a dedicated outdoor air-chilled ceiling system using liquid desiccant and membrane-based total heat recovery",2,2,"energy, various",1
"An inexact optimization modeling approach for supporting energy systems planning and air pollution mitigation in Beijing city",4,2,"energy, waste",1
"An integrated framework of agent-based modelling and robust optimization for microgrid energy management",3,1,"energy",1
"An optimization-based assessment framework for biomass-to-fuel conversion strategies",3,2,"energy, various",1
"Water distribution systems: Using linearized hydraulic equations within the framework of ranking-based optimization algorithms to improve their computational efficiency",2,1,"water",1
"Multi-objective Optimization of a Membrane Distillation System for Desalination of Sea Water",3,1,"water",1
"IFTEM: An interval-fuzzy two-stage stochastic optimization model for regional energy systems planning under uncertainty",2,1,"energy",1
"Integration and optimization study on the coal-fired power plant with CO 2 capture using MEA",3,1,"energy",1
"A PSO (particle swarm optimization)-based model for the optimal management of a small PV(Photovoltaic)-pump hydro energy storage in a rural dry area",4,1,"energy",1
"Optimization of energy plants including water/lithium bromide absorption chillers",3,2,"energy, water",1
"Optimization of water network integrated with process models",4,1,"water",1
"An optimization model for the utilization of wood residues as an energy source",4,3,"energy, other, waste",1
"An optimization-model-based interactive decision support system for regional energy management systems planning under uncertainty",2,1,"energy",1
"The effect of real-time external resistance optimization on microbial fuel cell performance",2,1,"energy",1
"Chance-constrained two-stage fractional optimization for planning regional energy systems in British Columbia, Canada",2,1,"energy",1
"Energy Supply Chain Optimisation: Special Considerations for the Solution of the Energy Planning Problem",2,1,"energy",1
"An integrated optimization approach and multi-criteria decision analysis for supporting the waste-management system of the City of Beijing, China",2,1,"waste",1
"Optimization for municipal solid waste treatment based on energy consumption and contaminant emission",7,3,"energy, various, waste",1
"Continuous global optimization of structured process systems models",2,0,"",1
"Development of an inexact optimization model for coupled coal and power management in North China",3,1,"energy",1
"Optimised integration of post-combustion CO2 capture process in greenfield power plants",3,2,"energy, waste",1
"An inexact optimization model associated with two robust programming approaches for water resources management",2,1,"water",1
"Development of a stochastic simulation-optimization model for planning electric power systems - A case study of Shanghai, China",4,1,"energy",1
"Optimization of thermoelectric generator module spacing and spreader thickness used in a waste heat recovery system",4,3,"energy, various, waste",1
"Optimization of biological hydrogen production for anaerobic co-digestion of food waste and wastewater biosolids",7,4,"energy, other, various, waste",1
"Development of an optimization model for water resources systemsplanning",2,1,"water",1
"An automated environmental and economic evaluation methodology for the optimization of a sour water stripping plant",2,1,"water",1
"An Inexact dynamic optimization model for CO2 emission reduction in Subei Region, Northeast China",3,1,"waste",1
"An optimization model for water resources allocation risk analysis under uncertainty",2,1,"water",1
"IB-ICCMSP: An Integrated Irrigation Water Optimal Allocation and Planning Model Based on Inventory Theory under Uncertainty",2,1,"water",1
"Linear programming optimization of nuclear energy strategy with sodium-cooled fast reactors",4,1,"energy",1
"Thermal optimization of a solar thermal cooling cogeneration plant at low temperature heat recovery",7,2,"energy, various",1
"Combination of pyrolysis and hydroliquefaction of CCB-treated wood for energy recovery: Optimization and products characterization",5,3,"energy, other, various",1
"Statistical key factors optimization of conditions for hydrogen production from S-TE (solubilization by thermophilic enzyme) waste sludge",4,2,"energy, waste",1
"Dynamic model for the optimisation of adsorption-based desalination processes",2,1,"water",1
"Multi-objective optimization of thermal modelled cubicles considering the total cost and life cycle environmental impact",2,1,"energy",1
"Credibility theory based dynamic control bound optimization for reservoir flood limited water level",2,1,"water",1
"Multi-objective exergy-based optimization of a polygeneration energy system using an evolutionary algorithm",3,1,"energy",1
"Optimization of number of effects for higher yield from an inverted absorber solar still using the Runge-Kutta method",2,1,"energy",1
"Waste water disposal: polluted aquifer cleanup optimization by using genetic algorithms",3,2,"waste, water",1
"Methanogenic activity optimization using the response surface methodology, during the anaerobic co-digestion of agriculture and industrial wastes. Microbial community diversity",4,3,"other, various, waste",1
"Optimization of wastewater treatment plant operation for greenhouse gas mitigation",5,3,"energy, various, waste",1
"Optimization of thermo-chemical hydrolysis of kitchen wastes",3,2,"energy, waste",1
"Optimization of lead (II) biosorption in an aqueous solution using chemically modified aerobic digested sludge",3,2,"other, waste",1
"Comparisons between global warming potential and cost-benefit criteria for optimal planning of a municipal solid waste management system",2,1,"waste",1
"Design optimization of power generation and desalination application in Malaysia utilizing ocean thermal energy",6,2,"energy, water",1
"Exergoeconomic analysis and multi-objective optimization of an ejector refrigeration cycle powered by an internal combustion (HCCI) engine",4,1,"energy",1
"Optimal design for water conservation and energy savings using green roofs in a green building under mixed uncertainties",3,2,"energy, water",1
"Optimal design of single and multiple stage activated sludge processes",2,1,"waste",1
"Composition optimisation of working fluids for organic rankine cycles and kalina cycles",2,1,"various",1
"A cost optimization model for 100% renewable residential energy supply systems",3,1,"energy",1
"Plasma gasification of sewage sludge: Process development and energy optimization",5,3,"energy, various, waste",1
"Energy, exergy, economic and environmental (4E) analyses based comparative performance study and optimization of vapor compression-absorption integrated refrigeration system",4,1,"energy",1
"Heat loss analysis and control optimization of furnace roller for roller hearth furnace",2,1,"energy",1
"New optimisation methodology to uncover robust low energy designs that accounts for occupant behaviour or other unknowns",2,1,"energy",1
"Electrochemical treatment of Baker's yeast wastewater containing melanoidin: Optimization through response surface methodology",3,2,"various, waste",1
"Heat transfer performance and structural optimization design method of vertical phase change thermal energy storage device",5,1,"energy",1
"Thermodynamic performance simulation and design optimisation of trilateral-cycle engines for waste heat recovery-to-power generation",7,3,"energy, various, waste",1
"Linear programming approach for optimization of radionuclide loading in vitrified HLW",1,0,"",1
"Optimisation of water use in batch process industries",2,1,"water",1
"A benchmarking framework for simulation-based optimization of environmental models",3,0,"",1
"Optimizing Municipal Solid Waste collection using Chaotic Particle Swarm Optimization in GIS based environments: A case study at Danang city, Vietnam",4,1,"waste",1
"Optimization the soda-AQ process for cellulose pulp production and energy content of black liquor from L. leucocephala K360",2,1,"energy",1
"Reduction of environmental pollution through optimization of energy use in cement industries",4,3,"energy, other, waste",1
"Rules for Optimal Operation of Reservoir-River-Groundwater Systems Considering Water Quality Targets: Application of M5P Model",2,1,"water",1
"Optimal annual operation of the dry cooling system of a concentrated solar energy plant in the south of Spain",3,1,"energy",1
"Modeling and optimization of biogas production on saw dust and other co-substrates using Artificial Neural network and Genetic Algorithm",5,2,"energy, waste",1
"Multi-objective optimization of industrial waste management in chemical sites coupled with heat integration issues",3,2,"energy, waste",1
"Exergy analysis, parametric analysis and optimization for a novel combined power and ejector refrigeration cycle",4,1,"energy",1
"A new organic matter fractionation methodology for organic wastes: Bioaccessibility and complexity characterization for treatment optimization",4,2,"various, waste",1
"Reviewing optimisation criteria for energy systems analyses of renewable energy integration",3,1,"energy",1
"Thermochemical analysis of biomass gasification by Gibbs free energy minimization model - Part: I (Optimization of Pressure and Temperature)",4,2,"energy, various",1
"Development of an optimization model for energy systems planning in the Region of Waterloo",2,1,"energy",1
"Optimization of metalworking fluid microemulsion surfactant concentrations for microfiltration recycling",2,1,"waste",1
"Development and optimization of a heat pump drying system driven by a diesel generator",4,1,"energy",1
"Optimization of environmental management strategies through a dynamic stochastic possibilistic multiobjective program",1,0,"",1
"Thermodynamic optimization of combined power and refrigeration cycle using binary organic working fluid",4,2,"energy, various",1
"Fluid selection and parametric optimization of organic Rankine cycle using low temperature waste heat",4,3,"energy, various, waste",1
"Simultaneous site-wide energy, waste and production optimization - industrial case studies",3,2,"energy, waste",1
"Ranking solutions of multi-objective reservoir operation optimization models using multi-criteria decision analysis",2,0,"",1
"Exploration and assessment of optimal policy combination for total water pollution control with a dynamic simulation model",3,2,"waste, water",1
"Multi-objective optimization of steam power plants for sustainable generation of electricity",4,1,"energy",1
"Multiscale modelling of hydrothermal biomass pretreatment for chip size optimization",4,2,"energy, various",1
"Optimal design and operation of a biogas fuelled MCFC (molten carbonate fuel cells) system integrated with an anaerobic digester",4,1,"energy",1
"Optimization methods applied to the design of eco-industrial parks: A literature review",2,0,"",1
"Optimization of partial nitritation in a continuous flow internal loop airlift reactor",1,0,"",1
"Optimization of nitrogen and phosphorus limitation for better biodegradable plastic production and organic removal using single fed-batch mixed cultures and renewable resources",4,3,"energy, other, various",1
"Multi-objective, multi-period optimization of district energy systems: IV - A case study",2,1,"energy",1
"Optimization of petroleum refinery effluent treatment in a UASB reactor using response surface methodology",3,2,"various, waste",1
"Optimization of combined cooling, heating and power generation by a solar system",5,1,"energy",1
"Identification of optimal plans for municipal solid waste management in an environment of fuzziness and two-layer randomness",2,1,"waste",1
"Evaluating shortfalls in mixed-integer programming approaches for the optimal design and dispatch of distributed generation systems",1,0,"",1
"Stochastic optimization of sustainable industrial symbiosis based hybrid generation bioethanol supply chains",2,1,"energy",1
"Design, analysis and optimization of a micro-CHP system based on organic rankine cycle for ultralow grade thermal energy recovery",7,2,"energy, various",1
"Planning of methane emission control from hoggery using an inexact two-stage optimization model",3,2,"various, waste",1
"Optimization of inoculum to substrate ratio for bio-energy generation in co-digestion of tannery solid wastes",4,3,"energy, various, waste",1
"Analysis of robust optimization for decentralized microgrid energy management under uncertainty",2,1,"energy",1
"Parameter optimization of ferro-sonication pre-treatment process for degradation of bisphenol A and biodegradation from wastewater sludge using response surface model",4,2,"various, waste",1
"Study on optimal scheduling model of NSGA-II algorithm for system of hydro and thermal power plants",3,1,"energy",1
"Removal of organic dyes by UV/H 2O 2 process: Modelling and optimization",4,2,"other, various",1
"Optimization of the industrial structure facing sustainable development in resource-based city subjected to water resources under uncertainty",2,1,"water",1
"Parametric based thermo-environmental and exergoeconomic analyses of a combined cycle power plant with regression analysis and optimization",2,1,"energy",1
"Energy status in Lebanon and electricity generation reform plan based on cost and pollution optimization",4,2,"energy, waste",1
"Multi-objective optimization of solid waste flows: Environmentally sustainable strategies for municipalities",2,1,"waste",1
"Flash cycle optimization of Sabalan geothermal power plant employing exergy concept",4,1,"energy",1
"Integration of kinetic modeling and desirability function approach for multi-objective optimization of UASB reactor treating poultry manure wastewater",4,1,"waste",1
"Locating monitoring wells in groundwater systems using embedded optimization and simulation models",4,1,"water",1
"A coupled random fuzzy two-stage programming model for crop area optimization-A case study of the middle Heihe River basin, China",2,1,"other",1
"Optimization of process parameters for kitchen waste composting by response surface methodology",3,1,"waste",1
"Design & optimization of two breeding thorium-uranium mixed SCWR fuel assemblies",4,1,"energy",1
"Optimization of the irrigation water resources for agricultural sustainability in Tarim River Basin, China",4,2,"other, water",1
"Stochastic optimization of a multi-feedstock lignocellulosic-based bioethanol supply chain under multiple uncertainties",3,2,"energy, various",1
"PLIO: A generic tool for real-time operational predictive optimal control of water networks",2,1,"water",1
"Interval-fuzzy municipal-scale energy model for identification of optimal strategies for energy management - A case study of Tianjin, China",2,2,"energy, waste",1
"Analysis and optimization of ammonia stripping using multi-fluid model",1,0,"",1
"Optimization of pumping rate and recharge through numerical modeling with special reference to small coral island aquifer",2,0,"",1
"Interval-fuzzy stochastic optimization for regional energy systems planning and greenhouse-gas emission management under uncertainty-a case study for the Province of Ontario, Canada",5,2,"energy, waste",1
"Numerical optimization of heat recovery steam cycles: Mathematical model, two-stage algorithm and applications",4,2,"energy, various",1
"MILP model for emergy optimization in EIP water networks",4,2,"energy, water",1
"Equilibrium strategy-based optimization method for the coal-water conflict: A perspective from China",3,2,"energy, water",1
"Model-based optimisation of Wastewater Treatment Plants design",4,2,"various, waste",1
"Optimal design of water networks by using genetic algorithm based on criterion of maximal water reuse",3,1,"water",1
"An optimization study of microwave assisted extraction of oil from oily sludge using response surface methodology",3,2,"energy, waste",1
"Optimal design of process energy systems integrating sustainable considerations",2,1,"energy",1
"Optimization of activated carbon fiber preparation from Kenaf using K2HPO4 as chemical activator for adsorption of phenolic compounds",2,1,"waste",1
"Exergoeconomic analysis and optimization of basic, dual-pressure and dual-fluid ORCs and Kalina geothermal power plants: A comparative study",3,1,"energy",1
"Optimization and comparison of Cd removal from aqueous solutions using activated and non-activated carbonaceous adsorbents prepared by pyrolysis of oily sludge",3,2,"various, waste",1
"Optimization of food waste hydrolysis in leach bed coupled with methanogenic reactor: Effect of pH and bulking agent",4,3,"energy, other, waste",1
"Application of statistical design of experiments for optimization of As(V) biosorption by immobilized bacterial biomass",3,1,"various",1
"Optimization of batch water network with multiple contaminants through continuous regeneration/recycle parallel operation",4,2,"waste, water",1
"Enhancing anaerobic digestion of high-pressure extruded food waste by inoculum optimization",4,3,"other, various, waste",1
"Minimization of water consumption and process optimization of palm oil mills",3,2,"energy, water",1
"An inexact simulation-based stochastic optimization method for identifying effluent trading strategies of agricultural nonpoint sources",4,2,"other, waste",1
"Optimization of biogas production from poultry manure wastewater in 250 ML flasks",4,2,"energy, waste",1
"A multi-objective superstructure optimization approach to biofeedstocks-to-biofuels systems design",3,1,"energy",1
"Imperata cylindrica (cogongrass) as an adsorbent for methylene blue dye removal: Process optimization",1,0,"",1
"Simultaneous optimization of multiple performance characteristics in coagulation-flocculation process for Indian paper industry wastewater",3,2,"other, waste",1
"Using self-adaptive optimisation methods to perform sequential optimisation for low-energy building design",3,1,"energy",1
"Optimization of arsenic removal from drinking water by electrocoagulation batch process using response surface methodology",2,1,"water",1
"Optimal design of an electrodialysis brackish water desalination plant",3,1,"water",1
"Inexact two-stage stochastic robust optimization model for water resources management under uncertainty",2,1,"water",1
"Simultaneous synthesis of waste interception and material reuse networks: Problem reformulation for global optimization",4,2,"other, waste",1
"Treatment of restaurant wastewater by pilot-scale electrocoagulation- electroflotation: Optimization of operating conditions",3,2,"various, waste",1
"Improving the performance of a WWTP control system by model-based setpoint optimisation",2,1,"waste",1
"NLP model based thermoeconomic optimization of vapor compression-absorption cascaded refrigeration system",2,1,"energy",1
"Optimization simulation of aeration mode in a triple oxidation ditch wastewater treatment process",4,2,"various, waste",1
"Optimization of overall network of water-using and treatment units",4,2,"various, water",1
"Optimization of pharmaceutical wastewater treatment bysolar/ferrioxalate photo-catalysis",3,2,"various, waste",1
"Part load based thermo-economic optimization of the Organic Rankine Cycle (ORC) applied to a combined heat and power (CHP) system",5,2,"energy, various",1
"Optimization of hydrogen production from organic fraction of municipal solid waste (OFMSW) dry anaerobic digestion with analysis of microbial community",6,3,"energy, various, waste",1
"Investigation of leachate treatment with electrocoagulation and optimization by response surface methodology",3,2,"various, waste",1
"Optimization models for the control of saltwater intrusion",2,0,"",1
"An inexact optimization model for energy-environment systems management in the mixed fuzzy, dual-interval and stochastic environment",2,1,"energy",1
"Determining the optimum cyclic operation of adsorption chillers by a direct method for periodic optimal control",0,0,"",1
"DESPU: Dynamic optimization for energy systems planning under uncertainty",2,1,"energy",1
"A robust optimization method for planning regional-scale electric power systems and managing carbon dioxide",4,2,"energy, waste",1
"Optimization of conventional Fenton and ultraviolet-assisted oxidation processes for the treatment of reverse osmosis retentate from a paper mill",3,2,"other, various",1
"An inexact optimization model for planning regional carbon capture, transportation and storage systems under uncertainty",2,1,"waste",1
"Life cycle assessment (LCA) optimization of solar-assisted hybrid CCHP system",3,1,"energy",1
"Bi-objective optimization of a water network via benchmarking",3,1,"water",1
"Multi-objective optimization of SNG production from microalgae through hydrothermal gasification",4,2,"energy, various",1
"A two-step infinite α-cuts fuzzy linear programming method in determination of optimal allocation strategies in agricultural irrigation systems",2,2,"other, water",1
"Optimization of reverse osmosis networks for seawater desalination",4,1,"water",1
"Identification of the cost-optimal degree of CO2 capture: An optimisation study using dynamic process models",3,1,"waste",1
"Design multiperiod optimization model for the electricity sector under uncertainty - A case study of the Emirate of Abu Dhabi",3,1,"energy",1
"Simulation and optimization modeling for the management of groundwater resources. I: Distinct applications",4,1,"water",1
"Optimisation of water usage in a brewery clean-in-place system using reference nets",2,1,"water",1
"Optimization and microbial community analysis of anaerobic co-digestion of food waste and sewage sludge based on microwave pretreatment",6,3,"other, various, waste",1
"An integrated optimization modeling approach for planning emission trading and clean-energy development under uncertainty",4,2,"energy, waste",1
"Optimal energy planning models with carbon footprint constraints",3,2,"energy, waste",1
"An optimization model for regional micro-grid system management based on hybrid inexact stochastic-fuzzy chance-constrained programming",1,0,"",1
"Comparative study between the heuristic algorithm and the optimization technique for vehicle routing and scheduling in a solid waste collection system",3,2,"other, waste",1
"Reliability-oriented multi-objective optimal decision-making approach for uncertainty-based watershed load reduction",0,0,"",1
"Exergoeconomic analysis and optimization of a condenser for a binary mixture of vapors in organic Rankine cycle",2,1,"various",1
"Response surface optimization of methane potentials in anaerobic co-digestion of multiple substrates: Dairy, chicken manure and wheat straw",6,3,"other, various, waste",1
"Subcritical water liquefaction of oil palm fruit press fiber in the presence of sodium hydroxide: An optimisation study using response surface methodology",4,3,"energy, other, water",1
"On the thermoeconomical optimization of heat pipe heat exchanger HPHE for waste heat recovery",4,3,"energy, various, waste",1
"Optimal planning for the sustainable utilization of municipal solid waste",2,1,"waste",1
"Numerical optimization of an organic rankine cycle scheme for co-generation",2,1,"various",1
"Optimization of biogas from chicken droppings with Cymbopogon citratus",2,1,"energy",1
"Optimal Water Quality Management Considering Spatial and Temporal Variations in a Tidal River",1,1,"water",1
"Environmental optimization of continuous flow ozonation for urban wastewater reclamation",2,1,"waste",1
"Bioproduction, statistical optimization and characterization of microbial plastic (poly 3-hydroxy butyrate) employing various hydrolysates of water hyacinth (Eichhornia crassipes) as sole carbon source",4,3,"other, waste, water",1
"A study on establishing an optimal water network in a dyeing and finishing industrial park",2,1,"water",1
"Optimization of the electrocoagulation process for the removal of lead from water using aluminium as electrode material",5,2,"other, water",1
"A dynamic optimization procedure for non-catalytic nitric oxide reduction in waste incineration plants",3,2,"various, waste",1
"Removal of COD from industrial effluent containing indigo dye using adsorption method by activated carbon cloth: Optimization, kinetic, and isotherm studies",3,1,"waste",1
"Optimization of biodiesel production from animal fat residue in wastewater using response surface methodology",4,2,"energy, waste",1
"Optimal design and operation of a UASB reactor for dairy cattle manure",3,2,"other, waste",1
