"words","freq"
"wasted",2
"wasteflow",2
"wastenewspaper",2
"wasterecycling",2
"woodbased",2
"biogasfueled",1
"biogasfuelled",1
"biohydrogengeneration",1
"biohydrogenproducing",1
"biomasscoal",1
"biomassderived",1
"biomassfuelled",1
"biomassgenerated",1
"biomasslipid",1
"biomassmunicipal",1
"biomasstobiodiesel",1
"biomasstobioenergy",1
"biomasstoelectricity",1
"biomasstoenergy",1
"biomasstofuel",1
"biomasstoheat",1
"cabbage",1
"cauliflower",1
"cereal",1
"chilling",1
"co2water",1
"coalbased",1
"coalbiomass",1
"coalgasification",1
"coalnatural",1
"coalwater",1
"coffea",1
"cokesludge",1
"coking",1
"coldheatpower",1
"cookstove",1
"cool",1
"coolants",1
"cooled",1
"coolers",1
"cornethanol",1
"cornsoybean",1
"cussava",1
"dieselbiodiesel",1
"dieseldiesel",1
"energybased",1
"energyconsuming",1
"energyexergybased",1
"energyharvesting",1
"energyhydrogen",1
"energyinput",1
"energypowered",1
"fuelcellbased",1
"fuelslurry",1
"microaeration",1
"microalga",1
"microalgalbacterial",1
"microgas",1
"microgenerators",1
"micropower",1
"offgas",1
"petrochemicals",1
"petrodiesel",1
"petroleumcoke",1
"platinum",1
"poultrymanure",1
"powercooling",1
"powerstation",1
"pyrogas",1
"reservoirrivergroundwater",1
"seawaterdesalination",1
"seawatersource",1
"sewers",1
"sludgederived",1
"solardriven",1
"solarenergy",1
"solargeothermal",1
"solarwaste",1
"soot",1
"stove",1
"stoves",1
"sulphur",1
"sunlight",1
"synergetic",1
"synergic",1
"synergism",1
"syngasbiogas",1
"syngasfuelled",1
"tin",1
"tobacco",1
"toilets",1
"utilityheat",1
"vegetation",1
"wasteheatpowered",1
"wasteloadallocation",1
"wastemanagement",1
"wastepaper",1
"wastereduction",1
"wastestream",1
"wastetoresources",1
"wastetowealth",1
"wastewastewater",1
"wastewaterderived",1
"wastewatertohydrogen",1
"wateroil",1
"waterreuse",1
"watersaving",1
"watertowater",1
"watertreated",1
"windhydro",1
"windpowered",1
"winds",1
