variable,City,Year,value,Indicator,Type,UM.category,Sub.category
bio,Kolkata,2001,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Kolkata,2006,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Kolkata,2011,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Lagos,2001,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Lagos,2006,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Lagos,2011,534889.24,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,London,2001,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,London,2006,361.44,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,London,2011,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Los Angeles,2001,28339,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Los Angeles,2006,18221,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Los Angeles,2011,21921,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Manila,2001,259232,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Beijing,2001,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Beijing,2006,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Tokyo,2006,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Tokyo,2011,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Buenos Aires,2006,0,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Osaka,2006,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Mexico City,2006,4007.72,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Mexico City,2011,3891.4,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Moscow,2001,0,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Moscow,2006,0,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Moscow,2011,0,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Mumbai,2001,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Mumbai,2006,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Mumbai,2011,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,New York City,2001,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,New York City,2006,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,New York City,2011,785.58,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Osaka,2001,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Seoul,2011,0.96,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Osaka,2011,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Paris,2001,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Paris,2006,3612,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Paris,2011,12012,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Rio de Janeiro,2001,3938,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Rio de Janeiro,2006,4033,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Rio de Janeiro,2011,3505,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Sao Paulo,2001,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Sao Paulo,2006,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Sao Paulo,2011,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Seoul,2001,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Seoul,2006,1.53,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Shenzhen,2001,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Shanghai,2001,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Shanghai,2006,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Shanghai,2011,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Tehran,2006,0,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Shenzhen,2006,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Shenzhen,2011,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Tehran,2001,0,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Tehran,2011,0,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
bio,Tokyo,2001,NA,Biomass/biofuels (TJ),urban.metabolism,Energy.stationary,
building.al.consume,Moscow,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Mexico City,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Mexico City,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Moscow,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Buenos Aires,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Moscow,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Mumbai,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Mumbai,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Mumbai,2011,70,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,New York City,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,New York City,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,New York City,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Osaka,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Osaka,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Osaka,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Paris,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Paris,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Paris,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Rio de Janeiro,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Rio de Janeiro,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Rio de Janeiro,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Sao Paulo,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Sao Paulo,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Sao Paulo,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Seoul,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Seoul,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Seoul,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Shanghai,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Shanghai,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Shanghai,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Shenzhen,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Shenzhen,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Shenzhen,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Tehran,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Tehran,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Tehran,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Tokyo,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Tokyo,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Tokyo,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Los Angeles,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Manila,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Manila,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Manila,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Mexico City,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Beijing,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Buenos Aires,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Buenos Aires,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Cairo,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Cairo,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Cairo,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Delhi,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Delhi,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Delhi,2011,69.15,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Dhaka,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Dhaka,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Dhaka,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Guangzhou,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Guangzhou,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Guangzhou,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Istanbul,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Istanbul,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Istanbul,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Jakarta,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Jakarta,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Jakarta,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Karachi,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Karachi,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Karachi,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Kolkata,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Kolkata,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Kolkata,2011,72.1,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Lagos,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Lagos,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Lagos,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,London,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,London,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,London,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Los Angeles,2001,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Los Angeles,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Beijing,2006,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.consume,Beijing,2011,NA,consumption (Kt),urban.metabolism,Materials,aluminium
building.al.import,Beijing,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Beijing,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Buenos Aires,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Buenos Aires,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Beijing,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Buenos Aires,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Cairo,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Cairo,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Delhi,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Delhi,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Delhi,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Dhaka,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Dhaka,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Dhaka,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Guangzhou,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Guangzhou,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Guangzhou,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Istanbul,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Istanbul,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Istanbul,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Jakarta,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Jakarta,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Jakarta,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Karachi,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Karachi,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Karachi,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Kolkata,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Kolkata,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Kolkata,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Lagos,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Lagos,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Lagos,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,London,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,London,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,London,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Los Angeles,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Los Angeles,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Los Angeles,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Manila,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Manila,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Manila,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Mexico City,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Mexico City,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Osaka,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Paris,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Cairo,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Moscow,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Moscow,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Mumbai,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Mumbai,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Mumbai,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,New York City,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,New York City,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,New York City,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Osaka,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Osaka,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Shanghai,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Shanghai,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Paris,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Paris,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Rio de Janeiro,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Rio de Janeiro,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Rio de Janeiro,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Sao Paulo,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Sao Paulo,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Sao Paulo,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Seoul,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Seoul,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Seoul,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Shenzhen,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Shenzhen,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Shanghai,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Shenzhen,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Tehran,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Tokyo,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Tehran,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Tehran,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Mexico City,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Moscow,2001,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Tokyo,2006,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.import,Tokyo,2011,NA,net import (Kt),urban.metabolism,Materials,alumnium
building.al.prod,Buenos Aires,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Buenos Aires,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Mexico City,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Mexico City,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Manila,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Mexico City,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Cairo,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Cairo,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Delhi,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Delhi,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Delhi,2011,0,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Dhaka,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Dhaka,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Dhaka,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Guangzhou,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Guangzhou,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Guangzhou,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Istanbul,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Istanbul,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Istanbul,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Jakarta,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Jakarta,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Jakarta,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Karachi,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Karachi,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Karachi,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Kolkata,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Kolkata,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Kolkata,2011,0,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Lagos,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Lagos,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Lagos,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,London,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,London,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,London,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Los Angeles,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Los Angeles,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Los Angeles,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Manila,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Manila,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Beijing,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Beijing,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Beijing,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Osaka,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Buenos Aires,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Cairo,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Moscow,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Moscow,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Mumbai,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Mumbai,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Mumbai,2011,0,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,New York City,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,New York City,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,New York City,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Osaka,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Osaka,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Shanghai,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Paris,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Paris,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Paris,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Rio de Janeiro,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Rio de Janeiro,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Rio de Janeiro,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Sao Paulo,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Sao Paulo,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Sao Paulo,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Seoul,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Seoul,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Seoul,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Shenzhen,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Shanghai,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Shanghai,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Shenzhen,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Tehran,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Shenzhen,2011,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Tehran,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Tehran,2006,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Moscow,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
building.al.prod,Tokyo,2001,NA,production (Kt),urban.metabolism,Materials,aluminium
