,"Title","status","notes","type","type.notes","techniques.broad","techniques","techniques.IO","techniques.other","techniques.notes","focus.broad.cat","focus.broad","focus","focus.multiple","focus.other","focus.notes","method","use","use.other","use.notes","text.label"
"18","A Material Flow Accounting Case Study of the Lisbon Metropolitan Area using the Urban Metabolism Analyst Model","keep","UMAn: “a set of nested calculation routines process available data to produce a detailed map of material resources and throughput for different economic activities”. Four components: Platform, Statistics, Plugins, Caclulator. Lisbon Metropolitan Area case study","mathematical","Mathematical","medium","integrated","no","NA","Data (from sources and statistics), mass balance, mathematical formulation of material properties (via plugins), economic activity material resource distribution, economic activity spatial distribution.","other","socioeconomic","other","resources and activities","spatial","Metabolism outputs, throughput, economic activities distribution, spatial distribution","simulation","system understanding/improvements","NA","Understand material dynamics and usage under detailed categories (material, economic and spatial)",
"19","Anthropogenic heat emissions in the Yangtze River Delta region","keep","borderline (only considers anthropogenic heat)","CUT","CUT – NOT UM","CUT","CUT – NOT UM","no","NA","CUT – NOT UM","CUT","CUT","CUT – NOT UM","NA","NA","CUT – NOT UM","CUT","CUT – NOT UM","NA","CUT – NOT UM",
"20","Urban ecological metalbolism of municipal solid waste: A review","keep","chinese (but could be relevant)","CUT","CUT – NOT ENGLISH","CUT","CUT – NOT ENGLISH","no","NA","CUT – NOT ENGLISH","CUT","CUT","CUT – NOT ENGLISH","NA","NA","CUT – NOT ENGLISH","CUT","CUT – NOT ENGLISH","NA","CUT – NOT ENGLISH",
"21","Urban eco-complex and eco-space management","keep","Not available. Doesn't look like a model.","CUT","CUT – NOT ENGLISH","CUT","CUT – NOT ENGLISH","no","NA","CUT – NOT ENGLISH","CUT","CUT","CUT – NOT ENGLISH","NA","NA","CUT – NOT ENGLISH","CUT","CUT – NOT ENGLISH","NA","CUT – NOT ENGLISH",
"22","Synergism analysis of an urban metabolic system: Model development and a case study for Beijing, China","keep","“The efficiency of urban metabolic processes depends on the degree of mutualism of these processes throughout the metabolic system and on the value gained by each compartment wihtin the system... urban metabolic network model of Beijing”","mathematical","Mathematical","medium","ENA","no","NA","ENA of organisational sectors","resource","multiple resources","materials","NA","NA","mass and monetary flows","simulation","system understanding/improvements","NA","Quantify synergism, to identify which sectoral pairs can improve.",
"23","Ecological network analysis of an urban metabolic system based on input-output tables: Model development and case study for Beijing","keep","“...analyzing the inner mechanisms that control urban metabolic processes.” Using I/O tables to build an ecological network model (32 components)","mathematical","Mathematical","medium","ENA","yes","NA","ENA of organisational sectors (data from physical I/O tables, computed from monetary I/O tables)","resource","multiple resources","materials","NA","NA","mass flows","simulation","system understanding/improvements","NA","Quantify hierarchy of components, to identify which sectoral pairs can improve.",
"24","Modeling urban metabolism of Beijing city, China: With a coupled system dynamics: Emergy model","keep","“the dynamic simulation model used in the paper is capable of synthesizing component-level knowledge into system behaviour simulation at an integrated level, which is directly useful for simulating and evaluating a variety of decisions actions and their dynamic consequences”. System dynamics: “understanding how the physical processes, information flows and managerial policies interact so as to create the dynamics of the variables of interest.” See Fig. 2. “Based on the internal emergy accounting of urban metabolism (Fig. 3), the urban emergy metabolic SD model is divided into the following sectors:... Each subsystem has level variables and rate variables and auxiliary variables, all of which are connected by equations.” Leads to policy suggestions.","mathematical","Mathematical","low","mathematical representation of subsystems","no","NA","Mathematical representation of system dynamics (subsystems, e.g. industry, population)","resource","integrated","emergy","NA","NA","indicators based on emergy flows","simulation","scenario analysis","NA","Scenario analysis, according to exogenous variables (population, GDP, urbanization)",
"25","Urban ecosystem nitrogen metabolism: Research progress","keep","Can't access full artice. MFA to invistigate nitrogen metaoblism (e.g. “fate of industrial nitrogen metabolism”) and “support for the reduction of anthropogenic reactive notrigen emissons in urban regions”)","CUT","CUT – NOT ENGLISH","CUT","CUT – NOT ENGLISH","no","NA","CUT – NOT ENGLISH","CUT","CUT","CUT – NOT ENGLISH","NA","NA","CUT – NOT ENGLISH","CUT","CUT – NOT ENGLISH","NA","CUT – NOT ENGLISH",
"26","Dynamic metabolism modeling as a decision-support tool for urban water utilities applied to the upstream of the water system in Oslo, Norway","keep","Inform decision making for water utilities. “The data encompass the different flows of water and wastewater, resource consumption (chemical, material and energy), operational and maintenance expenditures, capital costs …, energy generation..., water and wastewater quality parameters, sludge generation, sludge composition etc.”. Methods: sustainability indicators sulected, and compare over period under different scenarios and interventions.","mathematical","Mathematical","low","mass and/or energy balance","no","NA","Mathematical representation of system dynamics, mass balance","resource","single resource","water","NA","NA","Urban water system and its related metabolic flows","simulation","scenario analysis","NA","scenario analysis",
"27","Urban water system metabolism assessment using WaterMet2 model","keep","“quantify the principal water flows and other main fluxes in the UWS”. Analyse alternative strategies for Oslo given rapid population growth (e.g. CO2, reliability of water supply). Just focuses on the 'metabolism' of the UWS","mathematical","Mathematical","low","mass and/or energy balance","no","NA","Mathematical representation of system dynamics, mass balance","resource","single resource","water","NA","NA","Urban water system and their related metabolic flows","simulation","scenario analysis","NA","simulation, sensitivity analysis, scenario analysis",
"28","Urban metabolism and climate change: A planning support system","keep","“quantitative estimate of the so-called urban metabolism... modelling framework for estimating the carbon exchanges together with sensible and latent heat fluxes and air temperature in relation to alternative land-use scenarios.” Three components: Cellular Automate model simulates urban land-use dynamics, transportation model, Advanced Canopy-Atmosphere-Soil Algorithm and mesoscale weather forecasting model. To inform spatial planning and urban policy. “link urban planning decisions to the estimates of their impact on urban fluxes, and in particular on the CO2 emissions in the atmosphere.” Can apply sensitivity analysis (urbanisation patterns, climate conditions)","mathematical","Mathematical","medium","integrated","no","NA","Integrate land-use dynamics, transport model, atmospheric model, and weather forecasting model","resource","single resource","carbon","NA","NA","Carbon exchanges and heat fluxes, to inform spatial planning and urban policy","simulation","scenario analysis","NA","Sensitivity analysis, scenario analysis",
"29","Urban metabolism based on emergy and slack based model: A case study of Beijing, China","keep","metabolic emergy account, quantifying “some important concepts of emergy stores.” Regression modelling to analyse “the urban metabolic development in Beijing from 2001 to 2010.” Slack-based efficiency measure based on DEA. “quantify the mechanism of a system” through LSR by “finding a line that summarized the relationships between variables”. Identifies the weight of contributing components to UM. Note correlations with metabolic efficiency (e.g. population density and per capita GDP). Leads to four recommended strategies.","mathematical","Mathematical","medium","regression","no","NA","Regression analysis to relate emergy accounts to indicators","resource","integrated","emergy","NA","NA","emergy","statistical","system understanding/improvements","NA","Identify strategies to improve metabolic efficiency of an area",
"30","Analysis of the energy metabolism of urban socioeconomic sectors and the associated carbon footprints: Model development and a case study for Beijing","keep","I/O and ENA to “develope a model of urban energy flows and also account for energy consumption embodied by the flows among indirectly linked sectors...”","mathematical","Mathematical","medium","ENA","yes","NA","ENA based on monetary I/O ","resource","single resource","energy","NA","NA","Sectoral energy consumption, and sectoral carbon footprint","simulation","system understanding/improvements","NA","Identify relationships between sectors",
"31","Enabling Future Sustainability Transitions: An Urban Metabolism Approach to Los Angeles Pincetl et al. Enabling Future Sustainability Transitions","keep","overfiew of data sources amd methods to calculate LCA, flows etc. to “better target energy conservation and efficiency programs...” (etc.) “Linear regression models investigate the impact of socioeconmoic drivers of energy consumption...”. EIO-LCA for “regional specific assesment of environment outcomes from economic activities”. E.g. find predictors of electricity use (and thus GHG) from building age and household income; water use and income correlated; etc.","mathematical","Mathematical","low","regression","no","NA","Linear regression to relate socioeconomic drivers to energy consumption (which is then related to impacts via EIO-LCA)","other","environment","emissions","NA","NA","Emissions","statistical","scenario analysis","NA","Predict GHGs from household income etc.",
"32","Modeling in-use steel stock in China's buildings and civil engineering infrastructure using time-series of DMSP/OLS nighttime lights","keep","“use of long-term nighttime lights as a proxy to effectively estimate in-use steel stock for buildings...and civil engineering infrastructure...at the provincial level in China” from observed relationships (which vary according to province and time) using “panel regression models”","mathematical","Mathematical","medium","regression","no","NA","Regression to relate night time lights to urban infrastructure stocks","other","form","stocks","Steel, civil engineering infrastructure","NA","Steel stock and civil engineering infrastructure","statistical","accounting","NA","Accounting, to inform policy","Liang et al. (2014)"
"33","Characterizing urban metabolic systems with an ecological hierarchy method, Beijing, China","keep","ENA. A focus on “internal production and consumption processes” rather than the “system's external characteristics”","mathematical","Mathematical","medium","ENA","no","NA","ENA","resource","multiple resources","materials","NA","NA","mass flows","simulation","system understanding/improvements","NA","Identify relationships between sectors",
"34","Analysis of urban metabolic processes based on input-output method: Model development and a case study for Beijing","keep","More ENA and I-O for 32 compartments","mathematical","Mathematical","medium","ENA","yes","NA","ENA based on monetary I/O ","resource","multiple resources","materials","NA","NA","mass flows","simulation","system understanding/improvements","NA","Identify relationships between sectors",
"35","Water and energy futures for Melbourne: Implications of land use, water use, and water supply strategy","maybe","Can't access full PDF. Modeling of different urban policites on water conservation, grid energy use, water supply energy demand. Recommedn managmenet measures, eg.g. “the combined management of water and energy...”","mathematical","Mathematical","low","mass and/or energy balance","no","NA","Mathematical representation of system components, mass balance","resource","single resource","water","NA","NA","Urban water system and its related metabolic flows","simulation","scenario analysis","NA","Scenario analysis (e.g. compact urban form vs. demand management)",
"36","Pathways to an oil-constrained sustainable city","maybe","Can't access paper. “conceptual framework model about the characteristics of an oil-constrained city … privdes the basis of a tool for integrating the effects of oil constraints into the urban metabolism for sustainable planning and development.” Assist the transformation of urban form.","conceptual","Conceptual","medium","relate various","no","NA","Identify relationships between oil-related inputs and oil-constrained sustainable urban forms","resource","single resource","oil","NA","NA","oil inputs influence on urban metabolism","conceptual","theory","NA","Develop theory to assist spatial planning for cities of the future",
"37","Moving towards the sustainable city: The role of electric vehicles, renewable energy and energy efficiency","maybe","Can't access paper. “adapt the extended metabolism model of a city developed by Newman... and the material and energy flow accounting by Sheeri... to assess the future role of electric vehicles, renewable energy use for mobility needs and energy efficiency increases for households...”","CUT","CUT – NOT A MODEL IN OUR SENSE","CUT","CUT – NOT A MODEL IN OUR SENSE","no","NA","CUT – NOT A MODEL IN OUR SENSE","CUT","CUT","CUT – NOT A MODEL IN OUR SENSE","NA","NA","CUT – NOT A MODEL IN OUR SENSE","CUT","CUT – NOT A MODEL IN OUR SENSE","NA","CUT – NOT A MODEL IN OUR SENSE",
"38","Resilience-based performance assessment of water-recycling schemes in urban water systems","keep","“A city metabolism model, WaterMet2, is used toevaluate the perfrmance of water reuce systems”: evolutionary algorithms to identify optimal solutions for resiliecne, reliability and total cost. Uses various hydraulic performance indicators. “conceptually-based mdoel which evaluates the performance of an integrated UWS over a long-term planning horizon... quantifies the principal water-related flows and toher metabolism-based vluxes in the UWS such as materials, chimicals, energy and greenhouse gas emissions”","mathematical","Mathematical","low","mass and/or energy balance","no","NA","Mathematical representation of system dynamics, mass balance","resource","single resource","water","NA","NA","Urban water system and their related metabolic flows","simulation","scenario analysis","NA","simulation, sensitivity analysis, scenario analysis",
"39","Urban metabolism model based on the emergy theory - A case study of 31 Chinese cities","maybe","can't access paper. Looks more like accounting than modelling.","CUT","CUT – CAN'T ACCESS PAPER, ACCOUNTING RATHER THAN MODELLING","CUT","CUT – CAN'T ACCESS PAPER, ACCOUNTING RATHER THAN MODELLING","no","NA","CUT – CAN'T ACCESS PAPER, ACCOUNTING RATHER THAN MODELLING","CUT","CUT","CUT – CAN'T ACCESS PAPER, ACCOUNTING RATHER THAN MODELLING","NA","NA","CUT – CAN'T ACCESS PAPER, ACCOUNTING RATHER THAN MODELLING","CUT","CUT – CAN'T ACCESS PAPER, ACCOUNTING RATHER THAN MODELLING","NA","CUT – CAN'T ACCESS PAPER, ACCOUNTING RATHER THAN MODELLING",
"40","Resource driven urban metabolism","keep","“...generative and genetic algorithms to develop a new associative system to develop coastal cities in arid climates. The system functions as a negative feedback loop, analysing existing conditions, and by a series of mathematicsl functions, projecting the new growth patterns for major components of a city... [e.g. canal networks]”. Developing design strategies. Create a “novel growth model, by using resource-based driver for the genreation of a city, where you cannot prescribe the resulting morphology.” Bettencourt's metabolic scaling characteristics,e.g. to determing the footprint and height of bulding envelopes etc.Generative algorithm generates networks and entities (“growth over time”), with “embedded control system” to control rules (e.g. populatin limits etc.). A city-generating algorithm means cities “can, to an extent, be grown and designed holistically.” using a “mathematical growth model that revolves around the resources of a city.”","mathematical","Mathematical","high","other","no","Evolutionary algorithms","EA following Bettencourt's scaling rules ","other","form","urban growth","NA","NA","Relate patterns of city component growth (e.g. networks) to internal resources of city.","optimisation","system understanding/improvements","NA","holistic design of city evolution","Pedersen & Vanmater (2013)"
"41","Urban ecosystems and sustainable urban development-analysing and assessing interacting systems in the Stockholm region","keep","Need more emphasis on “ecosystem functions in urban policy and planning”, but complex feedback between ecosystems and urban systems. For policy assessment. A good section reviewing models. LEAM: cullular automata and global probablility surfaces “to project and visulize future patterns of human land-use...to asses 'what-if' questions of varying policy or investment decision scenarios.” E.g. economy related to urban sprawl. Landu-use change + impact assessment component. Land-use cells “evolve according to predefined rules, affecting cells in the vicinity that in turn influence the state of other cells.” “advanced model integration platform” integrating “urban form, landuse and tranportation, urban metabolism, as well as ecological processes”. Applied scenarios to see what would happen to Greenstructure of Stockholme","mathematical","mathematical","medium","relate various","no","NA","Relates human-induced driving forces to land-use change, via integrating sub-models.  (which relates to impact assessment).Spatial area divided into cells, which evolve. Monte Carlo experiementation.","other","form","Land-use","NA","NA","Evolution of land-use","simulation","scenario analysis","NA","scenario analysis",
"42","Study of urban metabolic structure based on ecological network: A case study of Dalian","keep","More ENA (article in Chinese)","CUT","CUT – NOT ENGLISH","CUT","CUT – NOT ENGLISH","no","NA","CUT – NOT ENGLISH","CUT","CUT","CUT – NOT ENGLISH","NA","NA","CUT – NOT ENGLISH","CUT","CUT – NOT ENGLISH","NA","CUT – NOT ENGLISH",
"43","Waste management of urban agglomeration on a life cycle basis","keep","Uses an LCA model (just to study the waste component of metabolism of a city). MUIO-LCA (mixed-unit input-output LCA)","mathematical","mathematical","high","LCA","yes","NA","LCA based on waste mixed-unit I/O","resource","single resource","waste","NA","NA","waste","simulation","scenario analysis","NA","scenario analysis (e.g. changing recycling modes for Chinese urban algomeration)",
"44","A Stochastic Approach to Model Dynamic Systems in Life Cycle Assessment","keep","“Bayesian probabilities to model technology adoption...unique approach to modelling system eveolution and can be used independently or within the context of an agent-based model (ABM).” The couple with LCA, “analyzing the effect of decision-making patterns over time.” “Potential uses include examining the changing urban metabolism of growing cities...” E.g. Switchgrass Bioenergy. “a method to determine the effect of system emergence on LCA results. The established techniques can be used for any developing system where technology adoption occurs...”","mathematical","mathematical","medium","other","no","Bayesian technology adoption","ABM integration is optional.","other","form","other","NA","technology","System evolution based on technology adoption","simulation","scenario analysis","NA","Analyse the effect of decision making",
"45","Sustainable urban metabolism as a link between bio-physical sciences and urban planning: The BRIDGE project","keep","NOTES FOR THIS ELSEWHERE?","mathematical","mathematical","medium","integrated","no","NA","integrates monitoring, simulations, database, GIS, I/O, LCA","other","environment","environmental impacts","NA","NA","resources consumption, waste, emissions","simulation","strategic planning","NA","estimate impacts of urban metabolism to inform future resource optimisation",
"46","Path analysis of influencing factors on municipal solid waste generation: A case study of Xiamen City","keep","“study of the factors influencing household solid waste (HSW) generation...for exploring the generation mechanism and forecasting future dynamics...” (e.g. demographic/socioeconomic). Fir a “porposed path model” (e.g. family size, dining-at-home rate). Statistical: stratified random sampling, survey representative, correlation analysis (e.g. nonlinearities), path analysis - “a statistical technique used to examine the comparative strength of direct and indirect relationships among variables within a hypothesized model...” (an extension of multiple regression)","mathematical","mathematical","low","regression","no","NA","Path analysis to statistically relate demographic and socioeconomic factors to household waste generation","resource","single resource","waste","household","NA","household waste","statistical","forecasting","NA","Understand mechanism and so forecast future dynamics",
"47","Source to tap urban water cycle modelling","keep","To test strategies for external water supply system and demand management. New version of UWOT model. Models water as a signal, from appliance to source. BOD also modelled. Technology library from which to select “combinations of specific technological options”. Use the “parameterisation-simulation-optimistion” (PSO) approach for the external supply system. E.g. Athens: multi-reservoir system. Use time-series as inputs (exernal and internal). Metabolism model: “the relationship between the environment and an urban system can be described by systematically recording all flows to and from the environment.”","mathematical","mathematical","low","mass and/or energy balance","no","NA","Mathematical relates water use at appliance (using technology library) to water use from source, by modelling water as a signal.","resource","single resource","water","NA","NA","External water supply system and demand management","simulation","scenario analysis","NA","Simulation and optimisation to test water suply strategies",
"48","A systems approach to carbon cycling and emissions modeling at an urban neighborhood scale","keep","Bottom-up modelling of contribution from buildings, transport, humans, vegetation and soils. Plan startegies to achieve per capital emission reductions target. (I've written on this paper in more detail in the technology review paper.)","mathematical","mathematical","low","Bottom-up mathematical description","no","NA","Bottom-up mathematical formulation of emissions sources (buildings, transport, humans, vegetation, soils)","resource","single resource","carbon","NA","NA","carbon","simulation","strategic planning","NA","Strategic planning","Kellet et al. (2013)"
"49","The energy for growing and maintaining cities","keep","Nonlinear model (HK and Singapore) to fit a relationship between energy-growth-maintenance. Implications for how GDP and energy use will grow. Nonlinear regression for parameter estimates.","mathematical","mathematical","high","regression","no","NA","Regression analysis to relate energy use to growing an sustaining an urban economy","resource","single resource","energy","NA","NA","energy and economic indicators","statistical","forecasting","NA","Forecasting energy use and economic performance",
"50","Using WRF/UCM and CMAQ mesoscale models with very high resolution over european urban cities","keep","Air quality modelling at high-res, to evaluate alterantives to urban planning.","mathematical","mathematical","low","Bottom-up mathematical description","no","NA","Mathematical representation of urban characteristics (e.g. building albedo, transport emissions, etc.) to air quality","other","environment","air quality","NA","NA","air quality","simulation","scenario analysis","NA","Scenario analysis (compare planning alternatives)",
"51","Comprehensive evaluation of the structural characteristics of an urban metabolic system: Model development and a case study of Beijing","keep","Represent “inner structural characteristics” of Beijing with four indicators, use MFA to quantify transfers between the components and environment. To identify “key metabolic actors responsible for urban metabolis disorders”. Based on a “model for the analysis of an urban metabolic system based on th roles played by different metabolic actors” [e.g. manufacturing, dom., reuse/recycling, etc.]","mathematical","mathematical","medium","ENA","no","NA","Related trends in inter-sectoral flows to metabolic efficiency indicators","resource","multiple resources","materials","NA","NA","sectoral material consumption","simulation","system understanding/improvements","NA","from trends, identify inefficient sectors",
"52","Innovation, multi-utility service businesses and sustainable cities: Where might be the next breakthrough?","keep","Based on substance flow analysis (accounting flows), a model explores/manages cross-sectoral impacts (synergies and antogonisms) from tech. and policy interventions (e.g. pyrolysis of sewage sludge). (I) identify strategies and techs; (ii) which ones are privilaged (i.e. cros-sectoral coals), (iii) which affect water-food-energy-climate security?; (iv) does municipal governance favour MUSCOs? A procedure-based model?","CUT","CUT – NOT A MODEL IN OUR SENSE","low","mass and/or energy balance","no","NA","Substance flow analysis and regional sensitivity analysis, mathematically represented in software, which tests candidate technologies.","resource","multiple resources","multiple","water, energy, substances","NA","five fluxes (water, energy, N, P, C) through five economic-industrial sectors within city-watershed system","CUT","system understanding/improvements","NA","Identify the fluxes which are key to achieving urban sustainability",
"53","Using Activity-Based Modeling to Simulate Urban Resource Demands at High Spatial and Temporal Resolutions","keep","Activity-based modelling. Relate activity schedules to resource demands (to plug the gap for high-resolution demand data), e.g. elec and nat gas. Either “process-based model of resource demands” or data-driven regressions to “explain the observed annual average demands … as a function of the simulated activity patterns … “ Paper takes the second (more limited approach, e.g. no temporal variations in resource demand)","mathematical","mathematical","medium","regression","no","NA","Regression analysis to relate activity schedules to resource demands","resource","single resource","energy","electricity, natural gas","NA","Electricity and natural gas","statistical","scenario analysis","NA","Scenario analysis (e.g. shift in commuting patterns in response to disincentives)",
"54","Reconstructing the Energy History of a City: Melbourne's Population, Urban Development, Energy Supply and Use from 1973 to 2005","keep","Reconstruct a time-series for operational energy demand from original sources. Relate upstream consupmtion to “to sectors based on their direct secondary energy usage”. Can inform the “energy future of Melbourne”. More 'analysis'?","mathematical","mathematical","high","ratios","no","NA","Relate historic upstream energy data to demands using other data (population and employment fractions, vehicle type ratios)","resource","single resource","energy","NA","NA","Long-term historic trends in energy demands","simulation","scenario analysis","NA","Scenario analysis and responses to future change","Baynes & Bai (2012)"
