"titles","optimised system(s)","optimised system(s) – details","opt.systems.summary","other systems","integration","type","notes","methods","methods (details)","cat_matches","cat_matches_list","notes","level","level.notes","level_detail","scale","focus"
"An Improved Linear Programming Approach for Simultaneous Optimization of Water and Energy","energy, water","process industry","energy, water","products","highly integrated","system","process industry, integrate to reduce both thermal consumption and water consumption","optimisation","MILP",3,"energy, waste, water","Optimising heat recovery, and (waste)water usage within industrial processes. Superstructure based.","high","sink/source superstructure","pump and paper mill (heat and water networks)","EIP","energy-* integration"
"A rapid and low energy consumption method to decolorize the high concentration triphenylmethane dye wastewater: Operational parameters optimization for the ultrasonic-assisted ozone oxidation process",,,,,,,,,,,,"CUT",,,,,"other"
"Hybrid response surface methodology-genetic algorithm optimization of ultrasound-assisted transesterification of waste oil catalysed by immobilized lipase on mesoporous silica/iron oxide magnetic core-shell nanoparticles",,,,,,,,,,,,"CUT",,,,,"other"
"Multi-objective optimization of water distribution systems based on a real options approach",,,,,,,,,,,,"CUT",,,,,"other"
"Thermodynamic optimization of a solar system for cogeneration of water heating and absorption cooling",,,,,,,,,,1,"energy","CUT",,,,,"other"
"Study on two operating conditions of a full-scale oxidation ditch for optimization of energy consumption and effluent quality by using CFD model","wastewater","wastewater (treatment quality)","single",,"none","plant","parameter optimisation (quality at minimum cost)","simulation","fluid dynamics simulation",2,"energy, waste","Parameters within the oxidation ditch of an wastewater treatment plant","low","operating conditions, inc. fluid dynamics","plant","plant","other"
"Modeling and optimization of a novel pressurized CHP system with water extraction and refrigeration",,,,,,,,,,,,"CUT",,,,,"other"
"Process optimization of wasted edible oil hydrolytic acidification in two-phase anaerobic digestion",,,,,,,,,,2,"energy, waste","CUT",,,,"plant","other"
"Multi-objective optimization of the setup of a surfactant-enhanced DNAPL remediation",,,,,,,,,,,,"CUT",,,,,"other"
"Installed capacity optimization of distributed energy resource systems for residential buildings",,,,,,,,,,,,"CUT",,,,,"other"
"Process enhancement through waste minimization and multiobjective optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of reactor depth in membrane bioreactors for municipal wastewater treatment",,,,,,,,,,1,"waste","CUT",,,,,"other"
"Pinch analysis for process energy optimization",,,,,,,,,,,,"CUT",,,,,"other"
"Carbon and air pollutants constrained energy planning for clean power generation with a robust optimization model-A case study of Jining City, China",,,,,,,,,,1,"energy","CUT",,,,,"other"
"Optimal design for heat-integrated water-using and wastewater treatment networks","energy, wastewater, water","process industry","energy, wastewater, water","products","highly integrated","system","Process industry. Simultaneous optimisation of heat, water and wastewater networks","optimisation","MINLP",4,"energy, various, waste, water","Considers superstructure of three networks: water-using, wastewater treatment, and heat exchanger (for industrial processes?). i.e. the process industry requires specific volumes of water, at specific temperatures.","medium","superstructure with non-generic specifics (e.g. temperatures and concentrations)",,"plant (multiple components)","other"
"Optimization of storage reservoir considering water quantity and quality",,,,,,,,,,,,"CUT",,,,,"other"
"Thermodynamic optimization opportunities for the recovery and utilization of residual energy and heat in China's iron and steel industry: A case study","energy","iron and steel manufacturing","single","products","integrated","system","energy recovery (i.e. maximising opportunities within an already existing layout)","simulation","simulation",2,"energy, various","Heat reuse from iron and steel industry (NB: reuse within the industry)","medium","superstructure with detailed thermodynamics etc.",,"plant (multiple components)","other"
"Computer simulation and optimization of ammonia-water absorption refrigeration systems",,,,,,,,,,1,"energy","CUT",,,,,"other"
"Industrial water management by multiobjective optimization: From individual to collective solution through eco-industrial parks",,,,,,,,,,,,"CUT",,,,,"other"
"Biomass to liquid transportation fuels (BTL) systems: Process synthesis and global optimization framework","fuel production","liquid transportation fuels","single","biomass, energy, water, wastewater","integrated","system","Biomass. Reinery integration of energy, water, wastewater","optimisation","MINLP",4,"energy, various, waste, water","Cost-optimal liquid fuel production (integrating heat, waste, and water)","medium","superstructure with non-generic specifics","refinery","refinery/chem. plant","biomass-* integration"
"Optimization of cross flow heat exchangers for thermoelectric waste heat recovery",,,,,,,,,,1,"energy","CUT",,,,,"other"
"Design and techno-economic optimization of a stand-alone PV (photovoltaic)/FC (fuel cell)/battery hybrid power system connected toa wastewater-to-hydrogen processor","fuel production","hydrogen production","single",,"none","plant","energy, wastewater. Parameter optimisation","optimisation","Unknown (mathematical programme)",2,"energy, waste","Determinie optimal (economic, power) hybrid wastewater treatment system","low","detailed chemistry and thermodynamics","device","component","other"
"Adaptive optimal control for a wastewater treatment plant based on a data-driven method",,,,,,,,,,1,"waste","CUT",,,,,"other"
"Optimization study of combined refrigeration cycles driven by an engine",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design of inter-plant waste energy integration",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design of inter-plant waste energy integration",,,,,,,,,,,,"CUT",,,,,"other"
"Integrated waste management in batch chemical industry based on multi-objective optimization",,,,,,,,,,,,"CUT",,,,,"other"
"System analysis and optimisation of a Kalina split-cycle for waste heat recovery on large marine diesel engines",,,,,,,,,,1,"energy","CUT",,,,,"other"
"Optimization of a microbial fuel cell for wastewater treatment using recycled scrap metals as a cost-effective cathode material",,,,,,,,,,1,"waste","CUT",,,,,"other"
"Optimal operation for large pumping station system based on water transferring losses of river",,,,,,,,,,,,"CUT",,,,,"other"
"An integrated approach to the optimisation of water usage and discharge in pulp and paper plants","pulp/paper","pulp/paper","pulp/paper",,,"plant","Plant parameters to minimise water","optimisation","can't access full paper � assume optimisation",2,"various, water","CUT",,,"pump and paper plant (water networks)","plant (multiple components)","other"
"Air source heat pump water heater: Dynamic modeling, optimal energy management and mini-tubes condensers",,,,,,,,,,1,"energy","CUT",,,,,"other"
"Sequential methodology for integrated optimization of energy and water use during batch process scheduling","energy, water","process industry","energy, water","products","highly integrated","system","simultaneous minimisation in process industry, to meet demand for process output","optimisation","MILP",3,"energy, various, water","simultatious minimizing of energy and water use","medium","superstructure with detailed thermodynamics etc.","chemical production plant","refinery/chem. plant","water n/w integration"
"Optimization of rice husk pretreatment for energy production",,,,,,,,,,"NA","NA","CUT",,,,,"other"
"Thermoeconomic analysis and optimization of an ammonia-water power/cooling cogeneration cycle",,,,,,,,,,1,"energy","CUT",,,,,"other"
"First-class optimization operation of distributed complex multi-source raw water system",,,,,,,,,,,,"CUT",,,,,"other"
"Modeling, instrumentation, automation, and optimization of water resource recovery facilities",,,,,,,,,,"NA","NA (lit review)","CUT",,,,,"other"
"Treatment of digestate from a co-digestion biogas plant by means of vacuum evaporation: Tests for process optimization and environmental sustainability","other","digestate treatment (for fertilizer)","single",,"none","plant","parameter optimisation","concrete statistical","CUT – experimental",2,"energy, waste","digestate from anaerobic digestion used to produce biogas","low","detailed operating conditions (e.g. chemistry)","techniques within biogas production plant","plant","other"
"Optimization of Industrial Structure Considering the Uncertainty of Water Resources",,,,,,,,,,,,"CUT",,,,,"other"
"Wet and dry cooling systems optimization applied to a modern waste-to-energy cogeneration heat and power plant","energy","energy","single","NA","none","system","Optimally integrating cooling system","simulation","simulation",2,"energy, waste","waste to energy in cogeneration plant","low","detailed operating conditions, inc. thermodynamics","techniques within cogeneration plant","plant (multiple components)","other"
"An inexact optimization model for regional energy systems planning in the mixed stochastic and fuzzy environment",,,,,,,,,,,,"CUT",,,,,"other"
"A Fuzzy Robust Optimization Model for Waste Allocation Planning under Uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"Analysis and optimization of integrated gas turbine, heat recovery steam generator and multi-effect thermal vapour compression desalination plant","water","desalination","single",,"none","plant","Energy (exergy) efficiency","optimisation","GA",2,"energy, water","Heat to produce freshwater (the freshwater can subsequently be used as a coolant)","low","detailed operating conditions, inc. thermodynamics","design parameters within the plant","plant (multiple components)","other"
"A superstructure optimization approach for water network synthesis with membrane separation-based regenerators","wastewater","process industry","single","products","integrated","system","within process industry","optimisation","MINLP",2,"waste, water","Optimise within the process industry","high","sink/source superstructure","e.g. petroleum refinery","refinery/chem. plant","water n/w integration"
"Optimization of a waste heat utilization network in an eco-industrial park","energy","EIP","single","Water, products","integrated","system","within petrochemical complex (process industry)","optimisation","MILP",2,"energy, various","petrochemical complex","high","sink/source superstructure","EIP (chemical complex)","EIP","energy-* integration"
"A process modelling-life cycle assessment-multiobjective optimization tool for the eco-design of conventional treatment processes of potable water",,,,,,,,,,1,"water","CUT",,,,,"other"
"Optimal allocation of water quantity and waste load in the Northwest Pearl River Delta, China",,,,,,,,,,1,"water","CUT",,,,,"other"
"Parameter optimization for predicting soil water movement under crop residue cover",,,,,,,,,,,,"CUT",,,,,"other"
"A hybrid interval-robust optimization model for water quality management",,,,,,,,,,,,"CUT",,,,,"other"
"Energy efficiency optimisation of wastewater treatment: Study of ATAD","energy","energy efficiency of anaerobic digestion","single",,"none","plant","plant parameters (e.g. sludge flowrate)","concrete statistical","Experimental (and statistical) and simulation",2,"energy, waste","optimise operating conditions","low","operating conditions","wastewater treatment facility","plant","other"
"Economic and environmental optimization of a multi-site utility network for an industrial complex","energy, water, products","EIP","energy, water, products","NA","highly integrated","system","Within an EIP. (energy as steam and electricity)","optimisation","MILP",3,"energy, various, water","optimisation of EIP utility networks","medium","superstructure with detailed thermodynamics etc.","site (15 chemical companies)","EIP","energy-* integration"
"Optimisation of electro-Fenton denitrification of a model wastewater using a response surface methodology",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal water purification using low grade waste heat in an absorption heat transformer","water","water purification","single",,"none","plant","Parameter optimisation. Reusing heat from the initial energy inputs","simulation","simulation",2,"energy, water","coupling energy transformation with water treatment","low","operating conditions","plant (theory)","plant (couple)","other"
"Process integration, modelling and optimisation for energy saving and pollution reduction",,,,,,,,,,"NA","NA (intro to conference series)","CUT",,,,,"other"
"Identification of optimal urban solid waste flow schemes under impacts of energy prices","waste","urban (includes WtE)","single","energy","integrated","system","minimum cost allocation","optimisation","fuzzy interval linear programming (FILP) and interval semi-infinite programming (ISIP)",2,"energy, waste","optimise regional waste management","high","sink/source superstructure","regional","region","energy-* integration"
"Regional optimal allocation for reducing waste loads via artificial neural network and particle swarm optimization: A case study of ammonia nitrogen in Harbin, northeast China",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal utilization of waste-to-energy in an LCA perspective",,,,,,,"LCA study",,,2,"energy, waste","CUT",,,"plant","plant","other"
"A two-stage support-vector-regression optimization model for municipal solid waste management - A case study of Beijing, China",,,,,,,,,,,,"CUT",,,,,"other"
"Pyrolysis of low density polyethylene waste in subcritical water optimized by response surface methodology",,,,,,,,,,1,"waste","CUT",,,,,"other"
"Thermoeconomic analysis & optimization of the combined supercritical CO2 (carbon dioxide) recompression Brayton/organic Rankine cycle",,,,,,,,,,1,"energy","CUT",,,,,"other"
"Energy efficiency optimization of air supply system in a water bottle manufacturing system",,,,,,,,,,2,"energy, various","CUT",,,,,"other"
"Partial oxidation of landfill leachate in supercritical water: Optimization by response surface methodology",,,,,,,,,,1,"waste","CUT",,,,,"other"
"Urban water infrastructure optimization to reduce environmental impacts and costs","water, wastewater","urban","water, wastewater","NA","highly integrated","system","minimise imports in an urban system. Could be useful as a more general piece of lit. highlighting (a) circular system, (b) highlevel/superstructure perspective optimisation.","optimisation","NLP",3,"various, waste, water","water and wastewater integration and optimisation (also considering electricity consumption)","high","sink/source superstructure","city","city","water n/w integration"
"Total footprints-based multi-criteria optimisation of regional biomass energy supply chains",,,,,,,,,,1,"energy","CUT",,,,,"other"
"Inexact Optimization Model for Supporting Waste-Load Allocation in the Xiangxi River Basin of the Three Gorges Reservoir Region, China",,,,,,,,,,,,"CUT",,,,,"other"
"Exergoeconomic optimization of a trigeneration system for heating, cooling and power production purpose based on TRR method and using evolutionary algorithm",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal aeration control in a nitrifying activated sludge process",,,,,,,,,,,,"CUT",,,,,"other"
"Simulation and optimization of an experimental membrane wastewater treatment plant using computational intelligence methods",,,,,,,,,,1,"waste","CUT",,,,,"other"
"Optimal process design for the polygeneration of SNG, power and heat by hydrothermal gasification of waste biomass: Process optimisation for selected substrates","energy","biomass gasification ","single",,"none","plant","plant parameter optimisation, solved by evolutionary algorithms","optimisation","EA",3,"energy, various, waste","energy from waste and various","low","operating conditions, inc. thermodynamics","plant","plant","other"
"Optimization of ethanol production from microwave alkali pretreated rice straw using statistical experimental designs by Saccharomyces cerevisiae","fuel production","ethanol production","single",,"none","plant","plant parameter optimisation","concrete statistical","response surface methodology, experiment",2,"energy, waste","ethanol from agro-waste","low","operating conditions, inc. chemistry","plant","plant","other"
"Intermittency-friendly and high-efficiency cogeneration: Operational optimisation of cogeneration with compression heat pump, flue gas heat recovery, and intermediate cold storage",,,,,,,,,,1,"energy","CUT",,,,,"other"
"Global optimization for overall HVAC systems - Part I problem formulation and analysis",,,,,,,,,,,,"CUT",,,,,"other"
"A robust optimization modelling approach for managing water and farmland use between anthropogenic modification and ecosystems protection under uncertainties",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization framework for the simultaneous process synthesis, heat and power integration of a thermochemical hybrid biomass, coal, and natural gas facility",,,,,,,,,,1,"energy","CUT",,,,,"other"
"Chemical exergy as a unified and objective indicator in the assessment and optimization of land treatment systems",,,,,,,,,,,"NA","CUT",,,,,"other"
"Optimal retrofit of water conservation networks","water, wastewater","general (urban or process industry)","water, wastewater","NA","highly integrated","system","MINLP. General (could be process industry or urban system)","optimisation","MINLP",2,"waste, water","considers sinks and sources for water and wastewater","high","sink/source superstructure","plant network","plant (multiple components)","other"
"An interval-parameter stochastic robust optimization model for supporting municipal solid waste management under uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of bioenergy yield from cultivated land in Denmark",,,,,,,,,,,"NA","CUT",,,,,"other"
"A simulation-based optimization approach for Water quality management of Xiangxihe river under uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"Model based optimization of the intermittent aeration profile for SBRs under partial nitrification",,,,,,,,,,,,"CUT",,,,,"other"
"Techno-economic assessment and optimization of Stirling engine micro-cogeneration systems in residential buildings",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization Models for Process Water Networks and Their Application to Biofuel Processes","water, wastewater","biofuel networks","water, wastewater","energy, fuel production","highly integrated","system","within biofuel generation systems","misc.","multiple (review)",3,"energy, waste, water","trade-offs (energy, water, materials, costs) in biofuel production","high","sink/source superstructure","plant network","plant (multiple components)","other"
"A surrogate model for simulation-optimization of aquifer systems subjected to seawater intrusion",,,,,,,,,,,,"CUT",,,,,"other"
"Multiobjective optimization of cluster-scale urban water systems investigating alternative water sources and level of decentralization","water, wastewater","urban","water, wastewater","NA","highly integrated","system","urban system. But goes to lower level detail (e.g. network topography). Uses multiobjective Gas","optimisation","GA",2,"waste, water","integrated networks (inc. reuse and reclamation)","medium","network design includes topology, pump sizing etc.","urban","city","water n/w integration"
"Model-based optimal control of a dedicated outdoor air-chilled ceiling system using liquid desiccant and membrane-based total heat recovery",,,,,,,,,,1,"energy","CUT",,,,,"other"
"An inexact optimization modeling approach for supporting energy systems planning and air pollution mitigation in Beijing city",,,,,,,,,,1,"energy","CUT",,,,,"other"
"An integrated framework of agent-based modelling and robust optimization for microgrid energy management",,,,,,,,,,,,"CUT",,,,,"other"
"An optimization-based assessment framework for biomass-to-fuel conversion strategies","fuel production","generalised superstructure of possibilities","single","Agriculture, biorefinery, energy, waste","integrated","system","High-level technology superstructure (both well known, and potential new technologies). Interesting notes on process maturity, price uncertainty etc.","optimisation","MILP",2,"energy, various","Combine different various strategies","high","technology superstructure","network of processes","refinery/chem. plant","biomass-* integration"
"Water distribution systems: Using linearized hydraulic equations within the framework of ranking-based optimization algorithms to improve their computational efficiency",,,,,,,,,,,,"CUT",,,,,"other"
"Multi-objective Optimization of a Membrane Distillation System for Desalination of Sea Water",,,,,,,,,,,,"CUT",,,,,"other"
"IFTEM: An interval-fuzzy two-stage stochastic optimization model for regional energy systems planning under uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"Integration and optimization study on the coal-fired power plant with CO 2 capture using MEA",,,,,,,,,,,,"CUT",,,,,"other"
"A PSO (particle swarm optimization)-based model for the optimal management of a small PV(Photovoltaic)-pump hydro energy storage in a rural dry area","energy","Hydroenergy storage","single",,"none","plant","For devise parameters","optimisation","PSO",2,"energy, water","optimal delivery of water and electricity to rural community (via groundwater pumped to reservoir)","medium","operating conditions for simple system","plant","plant (couple)","other"
"Optimization of energy plants including water/lithium bromide absorption chillers",,,,,,,,,,1,"energy","CUT",,,,,"other"
"Optimization of water network integrated with process models","wastewater","process industry","single","products","integrated","system","source/sink optimisation process industries. Superstructure approach.","optimisation","MINLP",2,"various, water","Water network superstructure (sinks, sources, uses) within refinery plant","high","sink/source superstructure","network within chemical plant","refinery/chem. plant","water n/w integration"
"An optimization model for the utilization of wood residues as an energy source","energy","Stochastic llocation of wood residues (uncertain sources) to biomass plants","single","NA","none","system","Minimum cost allocation to powerplants","optimisation","MILP",2,"energy, waste","wood suppliers, processors, markets, powerplant network","high","sink/source superstructure","regional","region","biomass-* integration"
"An optimization-model-based interactive decision support system for regional energy management systems planning under uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"The effect of real-time external resistance optimization on microbial fuel cell performance",,,,,,,,,,,,"CUT",,,,,"other"
"Chance-constrained two-stage fractional optimization for planning regional energy systems in British Columbia, Canada",,,,,,,,,,,,"CUT",,,,,"other"
"Energy Supply Chain Optimisation: Special Considerations for the Solution of the Energy Planning Problem",,,,,,,,,,,,"CUT",,,,,"other"
"An integrated optimization approach and multi-criteria decision analysis for supporting the waste-management system of the City of Beijing, China",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization for municipal solid waste treatment based on energy consumption and contaminant emission","waste","MSW treatment, including energy recovery","single","energy","integrated","system","minimise energy and emissions in allocating waste to landfill, composting, and other facilities","concrete statistical","CUT – statistical approach",2,"energy, waste","optimise a regional network of facilitites (e.g. combustion, composting, landfilling)","high","sink/source superstructure","regional (comparison of options)","region","energy-* integration"
"Continuous global optimization of structured process systems models",,,,,,,,,,,"NA","CUT",,,,,"other"
"Development of an inexact optimization model for coupled coal and power management in North China",,,,,,,,,,,,"CUT",,,,,"other"
"Optimised integration of post-combustion CO2 capture process in greenfield power plants",,,,,,,,,,,"NA","CUT",,,,,"other"
"An inexact optimization model associated with two robust programming approaches for water resources management",,,,,,,,,,,,"CUT",,,,,"other"
"Development of a stochastic simulation-optimization model for planning electric power systems - A case study of Shanghai, China",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of thermoelectric generator module spacing and spreader thickness used in a waste heat recovery system",,,,,,,,,,1,"energy","CUT",,,,,"other"
"Optimization of biological hydrogen production for anaerobic co-digestion of food waste and wastewater biosolids","fuel production","H production","single",,"none","plant","Parameter optimisation (e.g. substrate ratios), from waste and wastewater","concrete statistical","CUT – experimental regression model",2,"energy, waste","parameters for maximum hydrogen production","low","operating conditions","plant","plant","other"
"Development of an optimization model for water resources systemsplanning",,,,,,,,,,,,"CUT",,,,,"other"
"An automated environmental and economic evaluation methodology for the optimization of a sour water stripping plant",,,,,,,,,,,"NA","CUT",,,,,"other"
"An Inexact dynamic optimization model for CO2 emission reduction in Subei Region, Northeast China",,,,,,,,,,,,"CUT",,,,,"other"
"An optimization model for water resources allocation risk analysis under uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"IB-ICCMSP: An Integrated Irrigation Water Optimal Allocation and Planning Model Based on Inventory Theory under Uncertainty",,,,,,,,,,,,"CUT",,,,,"other"
"Linear programming optimization of nuclear energy strategy with sodium-cooled fast reactors",,,,,,,,,,,,"CUT",,,,,"other"
"Thermal optimization of a solar thermal cooling cogeneration plant at low temperature heat recovery",,,,,,,,,,1,"energy","CUT",,,,,"other"
"Combination of pyrolysis and hydroliquefaction of CCB-treated wood for energy recovery: Optimization and products characterization",,,,,,,,,,,"NA","CUT",,,,,"other"
"Statistical key factors optimization of conditions for hydrogen production from S-TE (solubilization by thermophilic enzyme) waste sludge","fuel production","H production","single",,"none","plant","Parameter optimisation (e.g. substance quantities), from waste sludge","concrete statistical","CUT – experimental regression model",2,"energy, waste","parameters for maximum hydrogen production","low","operating conditions","plant","plant","other"
"Dynamic model for the optimisation of adsorption-based desalination processes",,,,,,,,,,,,"CUT",,,,,"other"
"Multi-objective optimization of thermal modelled cubicles considering the total cost and life cycle environmental impact",,,,,,,,,,,,"CUT",,,,,"other"
"Credibility theory based dynamic control bound optimization for reservoir flood limited water level",,,,,,,,,,,,"CUT",,,,,"other"
"Multi-objective exergy-based optimization of a polygeneration energy system using an evolutionary algorithm",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of number of effects for higher yield from an inverted absorber solar still using the Runge-Kutta method",,,,,,,,,,,,"CUT",,,,,"other"
"Waste water disposal: polluted aquifer cleanup optimization by using genetic algorithms",,,,,,,,,,1,"waste","CUT",,,,,"other"
"Methanogenic activity optimization using the response surface methodology, during the anaerobic co-digestion of agriculture and industrial wastes. Microbial community diversity",,,,,,,,,,1,"waste","CUT",,,,,"other"
"Optimization of wastewater treatment plant operation for greenhouse gas mitigation",,,,,,,,,,,,"CUT",,,,,"other"
"Optimization of thermo-chemical hydrolysis of kitchen wastes","fuel production","biofuel production from kitchen waste","single",,"none","plant","Parameter optimisation (e.g. times and temperatures)","concrete statistical","CUT – experimental",2,"energy, waste","parameters for maximum biofuel production","low","operating conditions","plant (lab)","plant","other"
"Optimization of lead (II) biosorption in an aqueous solution using chemically modified aerobic digested sludge",,,,,,,,,,1,"waste","CUT",,,,,"other"
"Comparisons between global warming potential and cost-benefit criteria for optimal planning of a municipal solid waste management system",,,,,,,,,,,,"CUT",,,,,"other"
"Design optimization of power generation and desalination application in Malaysia utilizing ocean thermal energy","energy, water","coupling of desalination and power generation","energy, water","NA","highly integrated","system","coupling of desalination and power generation","concrete","simulation",2,"energy, water","simultaneous power generation and desalination","low","operating conditions","plant (multiple components)","plant (multiple components)","other"
"Exergoeconomic analysis and multi-objective optimization of an ejector refrigeration cycle powered by an internal combustion (HCCI) engine",,,,,,,,,,,,"CUT",,,,,"other"
"Optimal design for water conservation and energy savings using green roofs in a green building under mixed uncertainties",,,,,,"plant","CUT – green roof design efficiency, rather than system demands",,,2,"energy, water","CUT",,,"single dwelling","domestic","other"
"Optimal design of single and multiple stage activated sludge processes",,,,,,,,,,,,"CUT",,,,,"other"
"Composition optimisation of working fluids for organic rankine cycles and kalina cycles",,,,,,,,,,,,"CUT",,,,,"other"
"A cost optimization model for 100% renewable residential energy supply systems",,,,,,,,,,,,"CUT",,,,,"other"
"Plasma gasification of sewage sludge: Process development and energy optimization","energy","Energy","single",,"none","plant","Parameter optimisation (e.g. moisture content) to maximise energy from waste gasification. Note superstructure block diagram","simulation","GasifEq",2,"energy, waste","Optimial parameters for integrated drying/gasification/energy recovery","low","operating conditions (e.g. required oxygen)","plant (several components)","plant (multiple components)","other"
"Energy, exergy, economic and environmental (4E) analyses based comparative performance study and optimization of vapor compression-absorption integrated refrigeration system",,,,,,,,,,,,"CUT",,,,,"other"
