"titles","word_matches","cat_matches","cat_matches_list","optim"
"Development of natural gas fired combined cycle plant for tri-generation of power, cooling and clean water using waste heat recovery: Techno-economic analysis",7,4,"energy, various, waste, water",0
"State of the art and future concept of food waste fermentation to bioenergy",4,4,"energy, other, various, waste",0
"Enhancement of the anaerobic hydrolysis and fermentation of municipal solid waste in leachbed reactors by varying flow direction during water addition and leachate recycle",7,4,"energy, various, waste, water",0
"Acidogenic fermentation of vegetable based market waste to harness biohydrogen with simultaneous stabilization",4,4,"energy, other, various, waste",0
"Mesophilic anaerobic co-digestion of cow manure and biogas crops in full scale German biogas plants: A model for calculating the effect of hydraulic retention time and VS crop proportion in the mixture on methane yield from digester and from digestate storage at different temperatures",7,4,"energy, other, various, waste",0
"Hydrothermal decomposition of xylan as a model substance for plant biomass waste - Hydrothermolysis in subcritical water",4,4,"energy, various, waste, water",0
"Bottoming organic Rankine cycle configurations to increase Internal Combustion Engines power output from cooling water waste heat recovery",8,4,"energy, various, waste, water",0
"Life cycle assessment of a wastewater treatment plant focused on material and energy flows",4,4,"energy, other, various, waste",0
"An Analysis of the Energy Potential of Anaerobic Digestion of Agricultural By-Products and Organic Waste",5,4,"energy, other, various, waste",0
"Biochemical methane potential of different organic wastes and energy crops from Estonia",5,4,"energy, other, various, waste",0
"Research on the recycling of distillation waste in ethanol fermentation from food waste and its influence",5,4,"energy, other, various, waste",0
"Biosorption of mercury from aqueous solution and oilfield produced water by pristine and sulfur functionalized rice residues",5,4,"energy, other, waste, water",0
"Catalytic hydrothermal degradation of carbon reinforced plastic wastes for carbon fibre and chemical feedstock recovery",6,4,"energy, other, various, waste",0
"Organic pollution removal from TNT red water using Cu-impregnated activated coke",4,4,"energy, various, waste, water",0
"A synergistic combination of algal wastewater treatment and hydrothermal biofuel production maximized by nutrient and carbon recycling",7,4,"energy, other, various, waste",0
"Enzymatic hydrolysis and fermentation of seaweed solid wastes for bioethanol production: An optimization study",6,4,"energy, other, various, waste",1
"Ethanol from Indian agro-industrial lignocellulosic biomass—a life cycle evaluation of energy, greenhouse gases, land and water",6,4,"energy, various, waste, water",0
"An analysis of shipboard waste heat availability for ballast water treatment",4,4,"energy, various, waste, water",0
"Optimization of biogas production from olive-oil mill wastewater, by codigesting with diluted poultry-manure",7,4,"energy, other, various, waste",1
"Economic and environmental analysis of four different configurations of anaerobic digestion for food waste to energy conversion using LCA for: A food service provider case study",4,4,"energy, other, various, waste",0
"Mixed matrix membrane application for olive oil wastewater treatment: Process optimization based on Taguchi design method",6,4,"energy, other, various, waste",1
"Comprehensive numerical modeling of greenhouse gas emissions from water resource recovery facilities",6,4,"energy, various, waste, water",0
"Biosorption of toxic heavy metal ions from water environment using honeycomb biomass-an industrial waste material",5,4,"other, various, waste, water",0
"Biogas production from co-digestion of corn stover and chicken manure under anaerobic wet, hemi-solid, and solid state conditions",5,4,"energy, other, various, waste",0
"Modeling of olive-oil mill waste rotary dryers: Green energy recovery systems",6,4,"energy, other, various, waste",0
"Removal of hexavalent chromium from aqueous solution using biomass derived fly ash from Waste-to-Energy power plant",6,4,"energy, other, various, waste",0
"Anaerobic treatment of apple waste with swine manure for biogas production: Batch and continuous operation",5,4,"energy, other, various, waste",0
"Biohydrogen from thermophilic co-fermentation of swine manure with fruit and vegetable waste: Maximizing stable production without pH control",6,4,"energy, other, various, waste",0
"Hydrogen and electricity production from a food processing wastewater using fermentation and microbial fuel cell technologies",6,4,"energy, other, various, waste",0
"Parameter estimation and characterization of a single-chamber microbial fuel cell for dairy wastewater treatment",4,4,"energy, other, various, waste",0
"Enhancing biomass energy yield from pilot-scale high rate algal ponds with recycling",4,4,"energy, other, various, waste",0
"A two-stage bioprocess for hydrogen and methane production from rice straw bioethanol residues",5,4,"energy, other, various, waste",0
"Anaerobic co-digestion of sanitary wastewater and kitchen solid waste for biogas and fertilizer production under ambient temperature: Waste generated from condominium house",5,4,"energy, other, various, waste",0
"An Artificial Neural Network and Genetic Algorithm Optimized Model for Biogas Production from Co-digestion of Seed Cake of Karanja and Cattle Dung",5,4,"energy, other, various, waste",1
"A novel approach to realize SANI process in freshwater sewage treatment - Use of wet flue gas desulfurization waste streams as sulfur source",5,4,"energy, various, waste, water",0
"Co-liquefaction of swine manure and mixed-culture algal biomass from a wastewater treatment system to produce bio-crude oil",7,4,"energy, other, various, waste",0
"Hydrolysis of bamboo biomass by subcritical water treatment",5,4,"energy, other, various, water",0
"Characterization of food waste-recycling wastewater as biogas feedstock",6,4,"energy, other, various, waste",0
"Pilot-scale treatment of olive oil mill wastewater by physicochemical and advanced oxidation processes",4,4,"energy, other, various, waste",0
"Treatment of fish processing wastewater with microalgae-containing microbiota",4,4,"energy, other, various, waste",0
"Organic fractions influence on biogas generation from potato residues. Kinetic model generalization",4,4,"energy, other, various, waste",0
"Waste heat recovery of an ORC-based power unit in a turbocharged diesel engine propelling a light duty vehicle",7,4,"energy, other, various, waste",0
"Zero valent iron significantly enhances methane production from waste activated sludge by improving biochemical methane potential rather than hydrolysis rate",5,4,"energy, other, various, waste",0
"Improved biogas production from chicken manure anaerobic digestion using cereal residues as co-substrates",5,4,"energy, other, various, waste",0
"Performance evaluation of anaerobic hybrid reactors with different packing media for treating wastewater of mild alkali treated rice straw in ethanol fermentation process",4,4,"energy, other, various, waste",0
"Statistical design and modeling of the process of sugarcane bagasse gasification in supercritical water and prediction of hydrogen yield",7,4,"energy, other, various, water",0
"Remediation of Iron, Manganese, and Organic Pollutants in Lignite-Derived Water Using an Upflow Biological Aerated Filter",4,4,"other, various, waste, water",0
"Removal of organic pollutants from red water by magnetic-activated coke",4,4,"energy, various, waste, water",0
"Investigation of increasing organic loading rate in the co-digestion of energy crops and cow manure mix",5,4,"energy, other, various, waste",0
"Acidogenic fermentation of food waste for volatile fatty acid production with co-generation of biohydrogen",4,4,"energy, other, various, waste",0
"Study on the biochar yield and heat required during pyrolysis of two-phase olive mill waste",5,4,"energy, other, various, waste",0
"Extraction of organic materials from red water by metal-impregnated lignite activated carbon",5,4,"other, various, waste, water",0
"Optimization of thermal-dilute sulfuric acid pretreatment for enhancement of methane production from cassava residues",5,4,"energy, other, various, waste",1
"Methodology for Extraction of Phenolic Compounds of Bio-oil from Agricultural Biomass Wastes",4,4,"energy, other, various, waste",0
"Pilot treatment of olive pomace leachate by vertical-flow constructed wetland and electrochemical oxidation: An efficient hybrid process",4,4,"other, various, waste, water",0
"A novel full recycling process through two-stage anaerobic treatment of distillery wastewater for bioethanol production from cassava",5,4,"energy, other, various, waste",0
"Influence of temperature and duration of heat treatment used for anaerobic seed sludge on biohydrogen fermentation",6,4,"energy, other, various, waste",0
"Production of solid biofuel from agricultural wastes of the palm oil industry by hydrothermal treatment",6,4,"energy, other, various, waste",0
"Feasibility of anaerobic digestion of potato peels for biogas as mitigation of greenhouse gases emission potential",6,4,"energy, other, various, waste",0
"Characteristics of hydrogen production from anaerobic co-fermentation of pig manure and potato pulp",4,4,"energy, other, various, waste",0
"Development of an effective acidogenically digested swine manure-based algal system for improved wastewater treatment and biofuel and feed production",6,4,"energy, other, various, waste",0
"Methane production from acidic effluent discharged after the hydrogen fermentation of sugarcane juice using batch fermentation and UASB reactor",5,4,"energy, other, various, waste",0
"Comparative biochemical analysis after steam pretreatment of lignocellulosic agricultural waste biomass from Williams Cavendish banana plant (Triploid Musa AAA group)",4,4,"energy, other, various, waste",0
"Toxicity and organic content characterization of olive oil mill wastewater undergoing a sequential treatment with fungi and photo-Fenton oxidation",5,4,"energy, other, various, waste",0
"The effect of electrodialytic treatment and Na2H2EDTA addition on methanogenic activity of copper-amended anaerobic granular sludge: Treatment costs and energy consumption",4,4,"energy, other, various, waste",0
"Study of the adsorption of polyaromatic hydrocarbon binary mixtures on carbon materials by gas-phase fluorescence detection",4,4,"energy, other, various, waste",0
"Enhanced palm oil mill effluent treatment and biomethane production by co-digestion of oil palm empty fruit bunches with Chlorella Sp",6,4,"energy, other, various, waste",0
"Emission characteristics of heavy metals and organic pollutants from the combustion of sewage sludge in a fluidized bed combustor",7,4,"energy, other, various, waste",0
"Improved biohydrogen production and treatment of pulp and paper mill effluent through ultrasonication pretreatment of wastewater",5,4,"energy, other, various, waste",0
"Drying poultry manure for pollution potential reduction and production of organic fertilizer",5,4,"energy, other, various, waste",0
"Sargassum wightii, a marine alga is the source for the production of algal oil, bio-oil, and application in the dye wastewater treatment",4,4,"energy, other, various, waste",0
"Steam reforming of biomass tar model compound at relatively low steam-to-carbon condition over CaO-doped nickel-iron alloy supported over iron-alumina catalysts",5,4,"energy, other, various, waste",0
"Photoheterotrophic growth of Chlorella vulgaris ESP6 on organic acids from dark hydrogen fermentation effluents",5,4,"energy, other, various, waste",0
"One-pot fermentation of agricultural residues to produce butanol and hydrogen by Clostridium strain BOH3",4,4,"energy, other, various, waste",0
"Crop Management Impacts Biofuel Quality: Influence of Switchgrass Harvest Time on Yield, Nitrogen and Ash of Fast Pyrolysis Products",5,4,"energy, other, various, waste",0
"Increase of the anaerobic biodegradability of olive mill wastewaters through a pre-treatment with hydrogen peroxide in alkaline conditions",4,4,"energy, other, various, waste",0
"Experimental study on steam gasification of lignite char catalyzed by several metals",4,4,"energy, other, various, waste",0
"Cost optimisation and minimisation of the environmental impact through life cycle analysis of the waste water treatment plant of Bree (Belgium)",4,3,"various, waste, water",1
"Reuse of process water in a waste-to-energy plant: An Italian case of study",3,3,"energy, waste, water",0
"Modeling and performance analysis of a two-stage thermoelectric energy harvesting system from blast furnace slag water waste heat",6,3,"energy, waste, water",0
"Activated sludge technologies in waste water treatment and the development of the respective process control methods | Eleveniszapos Szennyvíztisztítási Technológiák És Szabályozás Igényük Fejlodése",4,3,"various, waste, water",0
"Optimization of energy costs in the pretreatment of olive mill wastewaters by electrocoagulation",4,3,"energy, other, waste",1
"Simultaneous process synthesis, heat, power, and water integration of thermochemical hybrid biomass, coal, and natural gas facilities",6,3,"energy, various, water",0
"A prospective analysis of waste heat management at power plants and water conservation issues using a global TIMES model",4,3,"energy, waste, water",0
"Evaluation of the energy efficiency of a large wastewater treatment plant in Italy",3,3,"energy, various, waste",0
"Thermodynamic and economic optimizations of a waste heat to power plant driven by a subcritical ORC (Organic Rankine Cycle) using pure or zeotropic working fluid",4,3,"energy, various, waste",0
"Energy consumption model for wastewater treatment process control",3,3,"energy, various, waste",0
"Investigation on the thermal performance and optimization of a heat pump water heater assisted by shower waste water",6,3,"energy, waste, water",1
"Optimisation of biomass waste to energy conversion systems for rural grid-connected applications",4,3,"energy, various, waste",1
"Hybrid response surface methodology-genetic algorithm optimization of ultrasound-assisted transesterification of waste oil catalysed by immobilized lipase on mesoporous silica/iron oxide magnetic core-shell nanoparticles",4,3,"energy, other, waste",1
"Process optimization of wasted edible oil hydrolytic acidification in two-phase anaerobic digestion",4,3,"energy, various, waste",1
"Energy saving on wastewater treatment plants through improved online control: Case study wastewater treatment plant Antwerp-South",3,3,"energy, various, waste",0
"Effects of water network synthesis on the air pollutant emissions and energy consumption of a whole economy",5,3,"energy, waste, water",0
"Computational study of the diffuser angle effect in the design of a waste heat recovery system for oil field cabins",5,3,"energy, various, waste",0
"Methodical thermodynamic analysis and regression models of organic Rankine cycle architectures for waste heat recovery",5,3,"energy, various, waste",0
"Multistage stochastic inexact chance-constraint programming for an integrated biomass-municipal solid waste power supply management under uncertainty",4,3,"energy, various, waste",0
"Thermodynamic optimization opportunities for the recovery and utilization of residual energy and heat in China's iron and steel industry: A case study",6,3,"energy, other, various",1
"Wet air oxidation of resorcinol as a model treatment for refractory organics in wastewaters from the wood processing industry",3,3,"other, various, waste",0
"Optimization of cross flow heat exchangers for thermoelectric waste heat recovery",4,3,"energy, various, waste",1
"Water and waste load allocation in rivers with emphasis on agricultural return flows: Application of fractional factorial analysis",3,3,"other, waste, water",0
"Specific energy consumption of membrane bioreactor (MBR) for sewage treatment",3,3,"energy, various, waste",0
"System analysis and optimisation of a Kalina split-cycle for waste heat recovery on large marine diesel engines",5,3,"energy, various, waste",1
"An integrated approach to the optimisation of water usage and discharge in pulp and paper plants",4,3,"other, waste, water",1
"Design and test of a single effect thermal desalination plant using waste heat from m-CHP units",6,3,"energy, waste, water",0
"Treatment of digestate from a co-digestion biogas plant by means of vacuum evaporation: Tests for process optimization and environmental sustainability",5,3,"energy, various, waste",1
"Study of the feasibility of mixing Refuse Derived Fuels with wood pellets through the grey and Fuzzy theory",3,3,"energy, other, waste",0
"Analysis and optimization of integrated gas turbine, heat recovery steam generator and multi-effect thermal vapour compression desalination plant",7,3,"energy, various, water",1
"Parameter optimization for predicting soil water movement under crop residue cover",4,3,"other, waste, water",1
"Thermodynamic analysis of employing ejector and organic Rankine cycles for GT-MHR waste heat utilization: A comparative study",3,3,"energy, various, waste",0
"Energy efficiency optimisation of wastewater treatment: Study of ATAD",4,3,"energy, various, waste",1
"Threshold herd size for commercial viability of biomass waste to energy conversion systems on rural farms",3,3,"energy, various, waste",0
"Optimal water purification using low grade waste heat in an absorption heat transformer",3,3,"energy, waste, water",1
"A review of technologies and performances of thermal treatment systems for energy recovery from waste",5,3,"energy, various, waste",0
"Pyrolysis of low density polyethylene waste in subcritical water optimized by response surface methodology",3,3,"various, waste, water",1
"Evaluating options for balancing the water-electricity nexus in California: Part 2-greenhouse gas and renewable energy utilization impacts",6,3,"energy, waste, water",0
"Process improvement and energy saving in a full scale wastewater treatment plant: Air supply regulation by a fuzzy logic system",3,3,"energy, various, waste",0
"Energy valorisation of food processing residues and model compounds by hydrothermal liquefaction",4,3,"energy, other, waste",0
"Thermoelectric power generation driven by blast furnace slag flushing water",3,3,"energy, waste, water",0
"Considering the energy, water and food nexus: Towards an integrated modelling approach",4,3,"energy, other, water",0
"Optimal process design for the polygeneration of SNG, power and heat by hydrothermal gasification of waste biomass: Process optimisation for selected substrates",8,3,"energy, various, waste",1
"Energy storage for desalination processes powered by renewable energy and waste heat sources",5,3,"energy, waste, water",0
"Assessment of organic waste management methods through energy balance",3,3,"energy, various, waste",0
"Low grade waste heat recovery using heat pumps and power cycles",4,3,"energy, various, waste",0
"Hybrid gas turbine-organic Rankine cycle for seawater desalination by reverse osmosis in a hydrocarbon production facility",5,3,"energy, various, water",0
"Technology, cost, a performance of waste-to-energy incineration industry in China",3,3,"energy, various, waste",0
"Recent developments and future perspectives of anaerobic baffled bioreactor for wastewater treatment and energy recovery",4,3,"energy, various, waste",0
"A thermodynamic comparison between organic rankine and kalina cycles for waste heat recovery from the gas turbine-modular helium reactor",5,3,"energy, various, waste",0
"Parametric analysis of air-water heat recovery concept applied to HVAC systems: Effect of mass flow rates",4,3,"energy, various, water",0
"Energy recovery through biohydrogen production for sustainable anaerobic waste treatment: An overview",5,3,"energy, various, waste",0
"Financial analysis of the implementation of a Drain Water Heat Recovery unit in residential housing",3,3,"energy, various, water",0
"An optimization model for the utilization of wood residues as an energy source",4,3,"energy, other, waste",1
"Optimization for municipal solid waste treatment based on energy consumption and contaminant emission",7,3,"energy, various, waste",1
"Simulation of gasification and melting of municipal solid waste by method of gibbs free energy minimization",5,3,"energy, various, waste",0
"Exergy analysis and working fluid selection of organic Rankine cycle for low grade waste heat recovery",5,3,"energy, various, waste",0
"Experimental study of an ORC (organic Rankine cycle) for low grade waste heat recovery in a ceramic industry",4,3,"energy, various, waste",0
"Optimization of thermoelectric generator module spacing and spreader thickness used in a waste heat recovery system",4,3,"energy, various, waste",1
"HD Diesel engine equipped with a bottoming Rankine cycle as a waste heat recovery system. Part 1: Study and analysis of the waste heat energy",6,3,"energy, various, waste",0
"Energy recovery in supercritical water oxydation process",3,3,"energy, various, water",0
"Co-digestion of kitchen waste and fruit-vegetable waste by two-phase anaerobic digestion",4,3,"other, various, waste",0
"Combination of pyrolysis and hydroliquefaction of CCB-treated wood for energy recovery: Optimization and products characterization",5,3,"energy, other, various",1
"A computer program for modeling the conversion of organic waste to energy",4,3,"energy, various, waste",0
"Minimization of total drying costs for a continuous packed-bed biomass dryer operating at an integrated chemical pulp and paper mill",3,3,"energy, other, various",0
"The difference between energy consumption and energy cost: Modelling energy tariff structures for water resource recovery facilities",4,3,"energy, various, water",0
"A multi-criteria ranking of different technologies for the anaerobic digestion for energy recovery of the organic fraction of municipal solid wastes",6,3,"energy, various, waste",0
"Methanogenic activity optimization using the response surface methodology, during the anaerobic co-digestion of agriculture and industrial wastes. Microbial community diversity",4,3,"other, various, waste",1
"Optimization of wastewater treatment plant operation for greenhouse gas mitigation",5,3,"energy, various, waste",1
"Utilization of biogas produced by anaerobic digestion of agro-industrial waste: Energy, economic and environmental effects",4,3,"energy, various, waste",0
"Plasma gasification of sewage sludge: Process development and energy optimization",5,3,"energy, various, waste",1
"Recovery of boric acid from boronic wastes by leaching with water, carbon dioxide- or sulfur dioxide-saturated water and leaching kinetics",4,3,"various, waste, water",0
"Modelling a district heating system: Introduction of waste incineration, policy instruments and co-operation with an industry",4,3,"energy, various, waste",0
"Thermodynamic performance simulation and design optimisation of trilateral-cycle engines for waste heat recovery-to-power generation",7,3,"energy, various, waste",1
"The potential of sustainable algal biofuel production using wastewater resources",3,3,"energy, other, waste",0
"Reduction of environmental pollution through optimization of energy use in cement industries",4,3,"energy, other, waste",1
"Fully integrated unit for thermal treatment of gas wastes",4,3,"energy, various, waste",0
"Effects of both blended and pure biodiesel on waste heat recovery potentiality and exhaust emissions of a small CI (compression ignition) engine",6,3,"energy, various, waste",0
"Water and wastewater minimization in Tehran oil refinery using water pinch analysis",3,3,"energy, waste, water",0
"Energy efficiency in Spanish wastewater treatment plants: A non-radial DEA approach",3,3,"energy, various, waste",0
"Heat recovery in medical waste thermal utilization system | Odzysk ciepła w procesie termicznej utylizacji odpadów medycznych",4,3,"energy, various, waste",0
"Fluid selection and parametric optimization of organic Rankine cycle using low temperature waste heat",4,3,"energy, various, waste",1
"Historical data based models for chilled water production from waste heat of turbine",4,3,"energy, waste, water",0
"Biohydrogen production from biomass and wastes via dark fermentation: A review",4,3,"energy, various, waste",0
"Estimation of CO2 emission from water treatment plant - Model development and application",4,3,"various, waste, water",0
"Optimization of nitrogen and phosphorus limitation for better biodegradable plastic production and organic removal using single fed-batch mixed cultures and renewable resources",4,3,"energy, other, various",1
"Techno-economical analysis of single pressure exhaust gas waste heat recovery systems in marine propulsion plants",4,3,"energy, various, waste",0
"Application of ozone treatment and pinch technology in cooling water systems design for water and energy conservation",5,3,"energy, various, water",0
"Assessment of high temperature organic Rankine cycle engine for polygeneration with MED desalination: A preliminary approach",3,3,"energy, various, water",0
"Anaerobic granule technologies for hydrogen recovery from wastes: The way forward",3,3,"energy, various, waste",0
"Optimization of inoculum to substrate ratio for bio-energy generation in co-digestion of tannery solid wastes",4,3,"energy, various, waste",1
"Thermodynamic evaluation of the Kalina split-cycle concepts for waste heat recovery applications",3,3,"energy, various, waste",0
"Evaluation of options for energy recovery from municipal solid waste in India using the hierarchical analytical network process",5,3,"energy, various, waste",0
"Technical and economic feasibility of hydrogen production using sludge from wastewater treatment and other wastes | Factibilidad técnica y económica de la producción de hidrógeno a partir de lodos del tratamiento de agua y otros desechos",5,3,"energy, various, waste",0
"Modelling and simulation analysis of an ORC-FPC waste heat recovery system for the stationary CNG-fuelled compressor",6,3,"energy, various, waste",0
"Smart power generation in wastewater treatment plants",3,3,"energy, various, waste",0
"Thermal and mechanical stabilization process of the organic fraction of the municipal solid waste",4,3,"energy, various, waste",0
"Utilization of waste heat from GT-MHR for power generation in organic Rankine cycles",4,3,"energy, various, waste",0
"Evaluating the potential of process sites for waste heat recovery",3,3,"energy, various, waste",0
"Reliable energy recovery in an existing municipal wastewater treatment plant with a flow-variable micro-hydropower system",6,3,"energy, various, waste",0
"Conductive heating and microwave hydrolysis under identical heating profiles for advanced anaerobic digestion of municipal sludge",5,3,"energy, various, waste",0
"Environmental sustainability of an energy self-sufficient sewage treatment plant: Improvements through DEMON and co-digestion",4,3,"energy, various, waste",0
"Water and energy synergy and trade-off potentials in mine water management",3,3,"energy, various, water",0
"Greenhouse gas production: A comparison between aerobic and anaerobic wastewater treatment technology",4,3,"energy, various, waste",0
"Mesophilic and thermophilic co-fermentation of cattle excreta and olive mill wastes in pilot anaerobic digesters",3,3,"other, various, waste",0
"Optimization of food waste hydrolysis in leach bed coupled with methanogenic reactor: Effect of pH and bulking agent",4,3,"energy, other, waste",1
"Enhancing anaerobic digestion of high-pressure extruded food waste by inoculum optimization",4,3,"other, various, waste",1
"The influence of capillary pressure on the phase equilibrium of the CO2-water system: Application to carbon sequestration combined with geothermal energy",5,3,"energy, waste, water",0
"Thermoeconomic comparison between pure and mixture working fluids of organic Rankine cycles (ORCs) for low temperature waste heat recovery",4,3,"energy, various, waste",0
"Optimising the biogas production from leather fleshing waste by co-digestion with MSW",4,3,"energy, various, waste",0
"Conceptual design and performance analysis of an exhaust gas waste heat recovery system for a 10000TEU container ship",5,3,"energy, various, waste",0
"Characterization of co-digestion of industrial sludges for biogas production by artificial neural network and statistical regression models",5,3,"energy, various, waste",0
"Anaerobic Digestion Model to Enhance Treatment of Brewery Wastewater for Biogas Production Using UASB Reactor",4,3,"energy, various, waste",0
"Dynamic behavior of Rankine cycle system for waste heat recovery of heavy duty diesel engines under driving cycle",4,3,"energy, various, waste",0
"Fixation and partitioning of heavy metals in slag after incineration of sewage sludge",5,3,"other, various, waste",0
"Thermodynamic analysis of a lowerature waste heat recovery system based on the concept of solar chimney",4,3,"energy, various, waste",0
"Optimization of hydrogen production from organic fraction of municipal solid waste (OFMSW) dry anaerobic digestion with analysis of microbial community",6,3,"energy, various, waste",1
"Optimization and microbial community analysis of anaerobic co-digestion of food waste and sewage sludge based on microwave pretreatment",6,3,"other, various, waste",1
"Use of industrial wastes as media in constructed wetlands and filter beds - Prospects for removal of phosphate and metals from wastewater streams",4,3,"other, waste, water",0
"Response surface optimization of methane potentials in anaerobic co-digestion of multiple substrates: Dairy, chicken manure and wheat straw",6,3,"other, various, waste",1
"Subcritical water liquefaction of oil palm fruit press fiber in the presence of sodium hydroxide: An optimisation study using response surface methodology",4,3,"energy, other, water",1
"On the thermoeconomical optimization of heat pipe heat exchanger HPHE for waste heat recovery",4,3,"energy, various, waste",1
"Water and carbon footprint improvement for dried tomato value chain",3,3,"other, waste, water",0
"Modeling energy consumption in membrane bioreactors for wastewater treatment in North Africa",4,3,"energy, various, waste",0
"Major pathway of methane formation from energy crops in agricultural biogas digesters",5,3,"energy, other, various",0
"Studies on the adsorption kinetics and isotherms for the removal and recovery of Methyl Orange from wastewaters using waste materials",4,3,"other, various, waste",0
"Bioproduction, statistical optimization and characterization of microbial plastic (poly 3-hydroxy butyrate) employing various hydrolysates of water hyacinth (Eichhornia crassipes) as sole carbon source",4,3,"other, waste, water",1
"Features of an efficient and environmentally attractive used tyres pyrolysis with energy and material recovery",4,3,"energy, other, various",0
"Effect of ammoniacal nitrogen on one-stage and two-stage anaerobic digestion of food waste",3,3,"other, various, waste",0
"Solid state bio methane production from vegetable wastes Current state and perception",3,3,"other, various, waste",0
"Anaerobic co-digestion of livestock wastes with vegetable processing wastes: A statistical analysis",4,3,"other, various, waste",0
"Recovery and utilization of waste heat",3,3,"energy, various, waste",0
"Electricity and substitute natural gas generation from the conversion of wastewater treatment plant sludge",5,3,"energy, various, waste",0
"Optimization of supercritical water oxidation for landfill leachate treatment by response surface methodology (RSM)",5,3,"various, waste, water",1
"Municipal solid waste to liquid transportation fuels - Part I: Mathematical modeling of a municipal solid waste gasifier",5,3,"energy, various, waste",0
"Anaerobic digestion of vinasse from sugarcane ethanol production in Brazil: Challenges and perspectives",3,3,"energy, other, various",0
"Optimization and modeling of reduction of wastewater sludge water content and turbidity removal using magnetic iron oxide nanoparticles (MION)",6,3,"other, waste, water",1
"EBP2R - An innovative enhanced biological nutrient recovery activated sludge system to produce growth medium for green microalgae cultivation",3,3,"energy, various, waste",0
"Energy from agricultural and animal farming residues: Potential at a local scale",3,3,"energy, other, waste",0
"Attachment surface energy effects on nitrification and estrogen removal rates by biofilms for improved wastewater treatment",3,3,"energy, various, waste",0
"Environmental implications of anaerobic digestion for manure management in dairy farms in Mexico: A life cycle perspective",3,3,"other, various, waste",0
"Optimization of the preparation process of biological sludge adsorbents for application in water treatment",4,3,"various, waste, water",1
"Exergetic efficiency and options for improving sewage sludge gasification in supercritical water",4,3,"various, waste, water",0
"Mesophilic batch anaerobic co-digestion of fruit-juice industrial waste and municipal waste sludge: Process and cost-benefit analysis",5,3,"other, various, waste",0
"Industrial waste heat recovery and cogeneration involving organic Rankine cycles",5,3,"energy, various, waste",0
"Treatment of whey wastewater by supercritical water oxidation",3,3,"various, waste, water",0
"The impact of municipal solid waste treatment methods on greenhouse gas emissions in Lahore, Pakistan",6,3,"energy, various, waste",0
"Resource recovery from residual household waste: An application of exergy flow analysis and exergetic life cycle assessment",3,3,"energy, various, waste",0
"Mathematical modelling of slow pyrolysis of a particle of treated wood waste",4,3,"other, various, waste",0
"An integrated prediction and optimization model of biogas production system at a wastewater treatment facility",4,3,"energy, various, waste",1
"Thermal performance optimization of hollow clay bricks made up of paper waste",4,3,"energy, other, waste",1
"Heat recovery from urban wastewater: Analysis of the variability of flow rate and temperature",3,3,"energy, various, waste",0
"Optimization of hydrogen production from supercritical water gasification of crude glycerol-byproduct of biodiesel production",6,3,"energy, various, water",1
"Surfactant-enhanced biohydrogen production from organic fraction of municipal solid waste (OFMSW) via dry anaerobic digestion",5,3,"energy, various, waste",0
"Influence of anaerobic co-digestion of sewage and brewery sludges on biogas production and sludge quality",5,3,"energy, various, waste",0
"Heat recovery investigation from dryer-thermal oxidizer system in corn-ethanol plants",5,3,"energy, other, various",0
"Biohydrogen production using waste activated sludge as a substrate from fructose-processing wastewater treatment",5,3,"energy, various, waste",0
